節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1	94.444	0.	44.444	0.97946
2	88.889	0.	44.444	4.0498
3	83.333	0.	44.444	9.2053
4	77.778	0.	44.444	16.321
5	72.222	0.	44.444	25.233
6	66.667	0.	44.444	35.757
7	61.111	0.	44.444	47.707
8	55.556	0.	44.444	60.898
9	50.	0.	44.444	75.148
10	44.444	0.	44.444	90.287
11	38.889	0.	44.444	106.15
12	33.333	0.	44.444	122.59
13	27.778	0.	44.444	139.46
14	22.222	0.	44.444	156.64
15	16.667	0.	44.444	174.03
16	11.111	0.	44.444	191.54
17	5.5556	0.	44.444	209.11
18	94.444	0.	38.889	1.108
19	88.889	0.	38.889	4.4201
20	83.333	0.	38.889	9.7821
21	77.778	0.	38.889	17.035
22	72.222	0.	38.889	26.02
23	66.667	0.	38.889	36.565
24	61.111	0.	38.889	48.499
25	55.556	0.	38.889	61.645
26	50.	0.	38.889	75.835
27	44.444	0.	38.889	90.901
28	38.889	0.	38.889	106.69
29	33.333	0.	38.889	123.05
30	27.778	0.	38.889	139.85
31	22.222	0.	38.889	156.97
32	16.667	0.	38.889	174.31
33	11.111	0.	38.889	191.78
34	5.5556	0.	38.889	209.32
35	94.444	0.	33.333	1.1503
36	88.889	0.	33.333	4.5862
37	83.333	0.	33.333	10.081
38	77.778	0.	33.333	17.438
39	72.222	0.	33.333	26.488
40	66.667	0.	33.333	37.063
41	61.111	0.	33.333	48.998
42	55.556	0.	33.333	62.125
43	50.	0.	33.333	76.281
44	44.444	0.	33.333	91.306
45	38.889	0.	33.333	107.05
46	33.333	0.	33.333	123.36
47	27.778	0.	33.333	140.12
48	22.222	0.	33.333	157.2
49	16.667	0.	33.333	174.51
50	11.111	0.	33.333	191.95
51	5.5556	0.	33.333	209.48
52	94.444	0.	27.778	1.1648
53	88.889	0.	27.778	4.6497
54	83.333	0.	27.778	10.207
55	77.778	0.	27.778	17.618
56	72.222	0.	27.778	26.705
57	66.667	0.	27.778	37.299
58	61.111	0.	27.778	49.239
59	55.556	0.	27.778	62.359
60	50.	0.	27.778	76.501
61	44.444	0.	27.778	91.507
62	38.889	0.	27.778	107.23
63	33.333	0.	27.778	123.52
64	27.778	0.	27.778	140.26
65	22.222	0.	27.778	157.32
66	16.667	0.	27.778	174.61
67	11.111	0.	27.778	192.05
68	5.5556	0.	27.778	209.56
69	94.444	0.	22.222	1.1648
70	88.889	0.	22.222	4.6497
71	83.333	0.	22.222	10.207
72	77.778	0.	22.222	17.618
73	72.222	0.	22.222	26.705
74	66.667	0.	22.222	37.299
75	61.111	0.	22.222	49.239
76	55.556	0.	22.222	62.359
77	50.	0.	22.222	76.501
78	44.444	0.	22.222	91.507
79	38.889	0.	22.222	107.23
80	33.333	0.	22.222	123.52
81	27.778	0.	22.222	140.26
82	22.222	0.	22.222	157.32
83	16.667	0.	22.222	174.61
84	11.111	0.	22.222	192.05
85	5.5556	0.	22.222	209.56
86	94.444	0.	16.667	1.1503
87	88.889	0.	16.667	4.5862
88	83.333	0.	16.667	10.081
89	77.778	0.	16.667	17.438
90	72.222	0.	16.667	26.488
91	66.667	0.	16.667	37.063
92	61.111	0.	16.667	48.998
93	55.556	0.	16.667	62.125
94	50.	0.	16.667	76.281
95	44.444	0.	16.667	91.306
96	38.889	0.	16.667	107.05
97	33.333	0.	16.667	123.36
98	27.778	0.	16.667	140.12
99	22.222	0.	16.667	157.2
100	16.667	0.	16.667	174.51
101	11.111	0.	16.667	191.95
102	5.5556	0.	16.667	209.48
