節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
137	5.5556	5.5556	3.	3.6837
138	5.5556	11.111	3.	2.5099
139	5.5556	16.667	3.	1.4401
140	5.5556	22.222	3.	0.47017
141	5.5556	27.778	3.	-0.47017
142	5.5556	33.333	3.	-1.4401
143	5.5556	38.889	3.	-2.5099
144	5.5556	44.444	3.	-3.6837
145	11.111	5.5556	3.	12.705
146	11.111	11.111	3.	8.9016
147	11.111	16.667	3.	5.2347
148	11.111	22.222	3.	1.7249
149	11.111	27.778	3.	-1.7249
150	11.111	33.333	3.	-5.2347
151	11.111	38.889	3.	-8.9016
152	11.111	44.444	3.	-12.705
153	16.667	5.5556	3.	25.094
154	16.667	11.111	3.	17.777
155	16.667	16.667	3.	10.565
156	16.667	22.222	3.	3.5013
157	16.667	27.778	3.	-3.5013
158	16.667	33.333	3.	-10.565
159	16.667	38.889	3.	-17.777
160	16.667	44.444	3.	-25.094
161	22.222	5.5556	3.	39.434
162	22.222	11.111	3.	28.064
163	22.222	16.667	3.	16.767
164	22.222	22.222	3.	5.5742
165	22.222	27.778	3.	-5.5742
166	22.222	33.333	3.	-16.767
167	22.222	38.889	3.	-28.064
168	22.222	44.444	3.	-39.434
169	27.778	5.5556	3.	54.784
170	27.778	11.111	3.	39.078
171	27.778	16.667	3.	23.41
172	27.778	22.222	3.	7.7954
173	27.778	27.778	3.	-7.7954
174	27.778	33.333	3.	-23.41
175	27.778	38.889	3.	-39.078
176	27.778	44.444	3.	-54.784
177	33.333	5.5556	3.	70.483
178	33.333	11.111	3.	50.337
179	33.333	16.667	3.	30.197
180	33.333	22.222	3.	10.064
181	33.333	27.778	3.	-10.064
182	33.333	33.333	3.	-30.197
183	33.333	38.889	3.	-50.337
184	33.333	44.444	3.	-70.483
185	38.889	5.5556	3.	86.058
186	38.889	11.111	3.	61.501
187	38.889	16.667	3.	36.922
188	38.889	22.222	3.	12.311
189	38.889	27.778	3.	-12.311
190	38.889	33.333	3.	-36.922
191	38.889	38.889	3.	-61.501
192	38.889	44.444	3.	-86.058
193	44.444	5.5556	3.	101.16
194	44.444	11.111	3.	72.321
195	44.444	16.667	3.	43.435
196	44.444	22.222	3.	14.487
197	44.444	27.778	3.	-14.487
198	44.444	33.333	3.	-43.435
199	44.444	38.889	3.	-72.321
200	44.444	44.444	3.	-101.16
201	50.	5.5556	3.	115.52
202	50.	11.111	3.	82.607
203	50.	16.667	3.	49.624
204	50.	22.222	3.	16.554
205	50.	27.778	3.	-16.554
206	50.	33.333	3.	-49.624
207	50.	38.889	3.	-82.607
208	50.	44.444	3.	-115.52
209	55.556	5.5556	3.	128.94
210	55.556	11.111	3.	92.213
211	55.556	16.667	3.	55.403
212	55.556	22.222	3.	18.483
213	55.556	27.778	3.	-18.483
214	55.556	33.333	3.	-55.403
215	55.556	38.889	3.	-92.213
216	55.556	44.444	3.	-128.94
217	61.111	5.5556	3.	141.25
218	61.111	11.111	3.	101.03
219	61.111	16.667	3.	60.704
220	61.111	22.222	3.	20.253
221	61.111	27.778	3.	-20.253
222	61.111	33.333	3.	-60.704
223	61.111	38.889	3.	-101.03
224	61.111	44.444	3.	-141.25
225	66.667	5.5556	3.	152.33
226	66.667	11.111	3.	108.97
227	66.667	16.667	3.	65.481
228	66.667	22.222	3.	21.847
229	66.667	27.778	3.	-21.847
230	66.667	33.333	3.	-65.481
231	66.667	38.889	3.	-108.97
232	66.667	44.444	3.	-152.33
233	72.222	5.5556	3.	162.12
234	72.222	11.111	3.	115.98
235	72.222	16.667	3.	69.705
236	72.222	22.222	3.	23.258
237	72.222	27.778	3.	-23.258
238	72.222	33.333	3.	-69.705
239	72.222	38.889	3.	-115.98
240	72.222	44.444	3.	-162.12
241	77.778	5.5556	3.	170.58
242	77.778	11.111	3.	122.07
243	77.778	16.667	3.	73.374
244	77.778	22.222	3.	24.485
245	77.778	27.778	3.	-24.485
246	77.778	33.333	3.	-73.374
247	77.778	38.889	3.	-122.07
248	77.778	44.444	3.	-170.58
249	83.333	5.5556	3.	177.75
250	83.333	11.111	3.	127.25
251	83.333	16.667	3.	76.519
252	83.333	22.222	3.	25.539
253	83.333	27.778	3.	-25.539
254	83.333	33.333	3.	-76.519
255	83.333	38.889	3.	-127.25
256	83.333	44.444	3.	-177.75
257	88.889	5.5556	3.	183.76
258	88.889	11.111	3.	131.66
259	88.889	16.667	3.	79.218
260	88.889	22.222	3.	26.448
261	88.889	27.778	3.	-26.448
262	88.889	33.333	3.	-79.218
263	88.889	38.889	3.	-131.66
264	88.889	44.444	3.	-183.76
265	94.444	5.5556	3.	188.88
266	94.444	11.111	3.	135.52
267	94.444	16.667	3.	81.616
268	94.444	22.222	3.	27.262
269	94.444	27.778	3.	-27.262
270	94.444	33.333	3.	-81.616
271	94.444	38.889	3.	-135.52
