é¸îgêî (Hz)	êUïù (mm)	à ëääp (ìx)	é¿ïî (mm)	ãïïî (mm)
4.	1.8492e-010	180.	-1.8492e-010	0.
8.	1.8492e-010	180.	-1.8492e-010	0.
12.	1.8492e-010	180.	-1.8492e-010	0.
16.	1.8493e-010	180.	-1.8493e-010	0.
20.	1.8493e-010	180.	-1.8493e-010	0.
24.	1.8494e-010	180.	-1.8494e-010	0.
28.	1.8494e-010	180.	-1.8494e-010	0.
32.	1.8495e-010	180.	-1.8495e-010	0.
36.	1.8496e-010	180.	-1.8496e-010	0.
40.	1.8497e-010	180.	-1.8497e-010	0.
44.	1.8498e-010	180.	-1.8498e-010	0.
48.	1.8499e-010	180.	-1.8499e-010	0.
52.	1.85e-010	180.	-1.85e-010	0.
56.	1.8501e-010	180.	-1.8501e-010	0.
60.	1.8503e-010	180.	-1.8503e-010	0.
64.	1.8504e-010	180.	-1.8504e-010	0.
68.	1.8506e-010	180.	-1.8506e-010	0.
72.	1.8508e-010	180.	-1.8508e-010	0.
76.	1.8509e-010	180.	-1.8509e-010	0.
80.	1.8511e-010	180.	-1.8511e-010	0.
84.	1.8513e-010	180.	-1.8513e-010	0.
88.	1.8515e-010	180.	-1.8515e-010	0.
92.	1.8518e-010	180.	-1.8518e-010	0.
96.	1.852e-010	180.	-1.852e-010	0.
100.	1.8522e-010	180.	-1.8522e-010	0.
104.	1.8525e-010	180.	-1.8525e-010	0.
108.	1.8527e-010	180.	-1.8527e-010	0.
112.	1.853e-010	180.	-1.853e-010	0.
116.	1.8533e-010	180.	-1.8533e-010	0.
120.	1.8536e-010	180.	-1.8536e-010	0.
124.	1.8539e-010	180.	-1.8539e-010	0.
128.	1.8542e-010	180.	-1.8542e-010	0.
132.	1.8545e-010	180.	-1.8545e-010	0.
136.	1.8548e-010	180.	-1.8548e-010	0.
140.	1.8551e-010	180.	-1.8551e-010	0.
144.	1.8555e-010	180.	-1.8555e-010	0.
148.	1.8558e-010	180.	-1.8558e-010	0.
152.	1.8562e-010	180.	-1.8562e-010	0.
156.	1.8566e-010	180.	-1.8566e-010	0.
160.	1.857e-010	180.	-1.857e-010	0.
164.	1.8574e-010	180.	-1.8574e-010	0.
168.	1.8578e-010	180.	-1.8578e-010	0.
172.	1.8582e-010	180.	-1.8582e-010	0.
176.	1.8586e-010	180.	-1.8586e-010	0.
180.	1.8591e-010	180.	-1.8591e-010	0.
184.	1.8595e-010	180.	-1.8595e-010	0.
188.	1.86e-010	180.	-1.86e-010	0.
192.	1.8604e-010	180.	-1.8604e-010	0.
196.	1.8609e-010	180.	-1.8609e-010	0.
200.	1.8614e-010	180.	-1.8614e-010	0.
204.	1.8619e-010	180.	-1.8619e-010	0.
208.	1.8624e-010	180.	-1.8624e-010	0.
212.	1.8629e-010	180.	-1.8629e-010	0.
216.	1.8634e-010	180.	-1.8634e-010	0.
220.	1.864e-010	180.	-1.864e-010	0.
224.	1.8645e-010	180.	-1.8645e-010	0.
228.	1.8651e-010	180.	-1.8651e-010	0.
232.	1.8656e-010	180.	-1.8656e-010	0.
236.	1.8662e-010	180.	-1.8662e-010	0.
240.	1.8668e-010	180.	-1.8668e-010	0.
244.	1.8674e-010	180.	-1.8674e-010	0.
248.	1.868e-010	180.	-1.868e-010	0.
252.	1.8686e-010	180.	-1.8686e-010	0.
256.	1.8693e-010	180.	-1.8693e-010	0.
260.	1.8699e-010	180.	-1.8699e-010	0.
264.	1.8706e-010	180.	-1.8706e-010	0.
268.	1.8712e-010	180.	-1.8712e-010	0.
272.	1.8719e-010	180.	-1.8719e-010	0.
276.	1.8726e-010	180.	-1.8726e-010	0.
280.	1.8733e-010	180.	-1.8733e-010	0.
284.	1.874e-010	180.	-1.874e-010	0.
288.	1.8747e-010	180.	-1.8747e-010	0.
292.	1.8754e-010	180.	-1.8754e-010	0.
296.	1.8761e-010	180.	-1.8761e-010	0.
300.	1.8769e-010	180.	-1.8769e-010	0.
304.	1.8776e-010	180.	-1.8776e-010	0.
308.	1.8784e-010	180.	-1.8784e-010	0.
312.	1.8792e-010	180.	-1.8792e-010	0.
316.	1.88e-010	180.	-1.88e-010	0.
320.	1.8808e-010	180.	-1.8808e-010	0.
324.	1.8816e-010	180.	-1.8816e-010	0.
328.	1.8824e-010	180.	-1.8824e-010	0.
332.	1.8832e-010	180.	-1.8832e-010	0.
336.	1.8841e-010	180.	-1.8841e-010	0.
340.	1.8849e-010	180.	-1.8849e-010	0.
344.	1.8858e-010	180.	-1.8858e-010	0.
348.	1.8867e-010	180.	-1.8867e-010	0.
352.	1.8876e-010	180.	-1.8876e-010	0.
356.	1.8885e-010	180.	-1.8885e-010	0.
360.	1.8894e-010	180.	-1.8894e-010	0.
364.	1.8903e-010	180.	-1.8903e-010	0.
368.	1.8912e-010	180.	-1.8912e-010	0.
372.	1.8922e-010	180.	-1.8922e-010	0.
376.	1.8931e-010	180.	-1.8931e-010	0.
380.	1.8941e-010	180.	-1.8941e-010	0.
384.	1.8951e-010	180.	-1.8951e-010	0.
388.	1.8961e-010	180.	-1.8961e-010	0.
392.	1.897e-010	180.	-1.897e-010	0.
396.	1.8981e-010	180.	-1.8981e-010	0.
