é¸îgêî (Hz)	êUïù (mm)	à ëääp (ìx)	é¿ïî (mm)	ãïïî (mm)
4.	2.0139e-014	0.	2.0139e-014	0.
8.	2.0139e-014	0.	2.0139e-014	0.
12.	2.0139e-014	0.	2.0139e-014	0.
16.	2.0139e-014	0.	2.0139e-014	0.
20.	2.0139e-014	0.	2.0139e-014	0.
24.	2.014e-014	0.	2.014e-014	0.
28.	2.014e-014	0.	2.014e-014	0.
32.	2.014e-014	0.	2.014e-014	0.
36.	2.0141e-014	0.	2.0141e-014	0.
40.	2.0142e-014	0.	2.0142e-014	0.
44.	2.0142e-014	0.	2.0142e-014	0.
48.	2.0143e-014	0.	2.0143e-014	0.
52.	2.0144e-014	0.	2.0144e-014	0.
56.	2.0145e-014	0.	2.0145e-014	0.
60.	2.0146e-014	0.	2.0146e-014	0.
64.	2.0147e-014	0.	2.0147e-014	0.
68.	2.0148e-014	0.	2.0148e-014	0.
72.	2.0149e-014	0.	2.0149e-014	0.
76.	2.015e-014	0.	2.015e-014	0.
80.	2.0151e-014	0.	2.0151e-014	0.
84.	2.0152e-014	0.	2.0152e-014	0.
88.	2.0154e-014	0.	2.0154e-014	0.
92.	2.0155e-014	0.	2.0155e-014	0.
96.	2.0157e-014	0.	2.0157e-014	0.
100.	2.0158e-014	0.	2.0158e-014	0.
104.	2.016e-014	0.	2.016e-014	0.
108.	2.0161e-014	0.	2.0161e-014	0.
112.	2.0163e-014	0.	2.0163e-014	0.
116.	2.0165e-014	0.	2.0165e-014	0.
120.	2.0167e-014	0.	2.0167e-014	0.
124.	2.0169e-014	0.	2.0169e-014	0.
128.	2.017e-014	0.	2.017e-014	0.
132.	2.0173e-014	0.	2.0173e-014	0.
136.	2.0175e-014	0.	2.0175e-014	0.
140.	2.0177e-014	0.	2.0177e-014	0.
144.	2.018e-014	0.	2.018e-014	0.
148.	2.0182e-014	0.	2.0182e-014	0.
152.	2.0184e-014	0.	2.0184e-014	0.
156.	2.0186e-014	0.	2.0186e-014	0.
160.	2.0189e-014	0.	2.0189e-014	0.
164.	2.0192e-014	0.	2.0192e-014	0.
168.	2.0194e-014	0.	2.0194e-014	0.
172.	2.0197e-014	0.	2.0197e-014	0.
176.	2.0199e-014	0.	2.0199e-014	0.
180.	2.0203e-014	0.	2.0203e-014	0.
184.	2.0205e-014	0.	2.0205e-014	0.
188.	2.0208e-014	0.	2.0208e-014	0.
192.	2.0211e-014	0.	2.0211e-014	0.
196.	2.0214e-014	0.	2.0214e-014	0.
200.	2.0218e-014	0.	2.0218e-014	0.
204.	2.0221e-014	0.	2.0221e-014	0.
208.	2.0224e-014	0.	2.0224e-014	0.
212.	2.0227e-014	0.	2.0227e-014	0.
216.	2.0231e-014	0.	2.0231e-014	0.
220.	2.0234e-014	0.	2.0234e-014	0.
224.	2.0238e-014	0.	2.0238e-014	0.
228.	2.0241e-014	0.	2.0241e-014	0.
