é¸îgêî (Hz)	êUïù (m)	à ëääp (ìx)	é¿ïî (m)	ãïïî (m)
4.	2.1724e-016	0.	2.1724e-016	0.
8.	2.1725e-016	0.	2.1725e-016	0.
12.	2.1725e-016	0.	2.1725e-016	0.
16.	2.1725e-016	0.	2.1725e-016	0.
20.	2.1725e-016	0.	2.1725e-016	0.
24.	2.1725e-016	0.	2.1725e-016	0.
28.	2.1725e-016	0.	2.1725e-016	0.
32.	2.1726e-016	0.	2.1726e-016	0.
36.	2.1726e-016	0.	2.1726e-016	0.
40.	2.1727e-016	0.	2.1727e-016	0.
44.	2.1727e-016	0.	2.1727e-016	0.
48.	2.1727e-016	0.	2.1727e-016	0.
52.	2.1728e-016	0.	2.1728e-016	0.
56.	2.1729e-016	0.	2.1729e-016	0.
60.	2.1729e-016	0.	2.1729e-016	0.
64.	2.173e-016	0.	2.173e-016	0.
68.	2.1731e-016	0.	2.1731e-016	0.
72.	2.1732e-016	0.	2.1732e-016	0.
76.	2.1732e-016	0.	2.1732e-016	0.
80.	2.1733e-016	0.	2.1733e-016	0.
84.	2.1734e-016	0.	2.1734e-016	0.
88.	2.1735e-016	0.	2.1735e-016	0.
92.	2.1736e-016	0.	2.1736e-016	0.
96.	2.1737e-016	0.	2.1737e-016	0.
100.	2.1739e-016	0.	2.1739e-016	0.
104.	2.174e-016	0.	2.174e-016	0.
108.	2.174e-016	0.	2.174e-016	0.
112.	2.1742e-016	0.	2.1742e-016	0.
116.	2.1743e-016	0.	2.1743e-016	0.
120.	2.1744e-016	0.	2.1744e-016	0.
124.	2.1746e-016	0.	2.1746e-016	0.
128.	2.1747e-016	0.	2.1747e-016	0.
132.	2.1748e-016	0.	2.1748e-016	0.
136.	2.175e-016	0.	2.175e-016	0.
140.	2.1752e-016	0.	2.1752e-016	0.
144.	2.1753e-016	0.	2.1753e-016	0.
148.	2.1755e-016	0.	2.1755e-016	0.
152.	2.1757e-016	0.	2.1757e-016	0.
156.	2.1758e-016	0.	2.1758e-016	0.
160.	2.176e-016	0.	2.176e-016	0.
164.	2.1762e-016	0.	2.1762e-016	0.
168.	2.1764e-016	0.	2.1764e-016	0.
172.	2.1765e-016	0.	2.1765e-016	0.
176.	2.1767e-016	0.	2.1767e-016	0.
180.	2.177e-016	0.	2.177e-016	0.
184.	2.1772e-016	0.	2.1772e-016	0.
188.	2.1774e-016	0.	2.1774e-016	0.
192.	2.1776e-016	0.	2.1776e-016	0.
196.	2.1778e-016	0.	2.1778e-016	0.
200.	2.178e-016	0.	2.178e-016	0.
204.	2.1782e-016	0.	2.1782e-016	0.
208.	2.1784e-016	0.	2.1784e-016	0.
212.	2.1787e-016	0.	2.1787e-016	0.
216.	2.1789e-016	0.	2.1789e-016	0.
220.	2.1792e-016	0.	2.1792e-016	0.
224.	2.1794e-016	0.	2.1794e-016	0.
228.	2.1797e-016	0.	2.1797e-016	0.
232.	2.18e-016	0.	2.18e-016	0.
236.	2.1802e-016	0.	2.1802e-016	0.
240.	2.1805e-016	0.	2.1805e-016	0.
244.	2.1808e-016	0.	2.1808e-016	0.
248.	2.181e-016	0.	2.181e-016	0.
252.	2.1813e-016	0.	2.1813e-016	0.
256.	2.1816e-016	0.	2.1816e-016	0.
260.	2.1819e-016	0.	2.1819e-016	0.
264.	2.1822e-016	0.	2.1822e-016	0.
268.	2.1825e-016	0.	2.1825e-016	0.
272.	2.1828e-016	0.	2.1828e-016	0.
276.	2.1831e-016	0.	2.1831e-016	0.
280.	2.1835e-016	0.	2.1835e-016	0.
284.	2.1837e-016	0.	2.1837e-016	0.
288.	2.1841e-016	0.	2.1841e-016	0.
292.	2.1844e-016	0.	2.1844e-016	0.
296.	2.1848e-016	0.	2.1848e-016	0.
300.	2.185e-016	0.	2.185e-016	0.
304.	2.1854e-016	0.	2.1854e-016	0.
308.	2.1858e-016	0.	2.1858e-016	0.
312.	2.1861e-016	0.	2.1861e-016	0.
316.	2.1864e-016	0.	2.1864e-016	0.
320.	2.1868e-016	0.	2.1868e-016	0.
324.	2.1872e-016	0.	2.1872e-016	0.
328.	2.1876e-016	0.	2.1876e-016	0.
332.	2.1879e-016	0.	2.1879e-016	0.
336.	2.1883e-016	0.	2.1883e-016	0.
340.	2.1887e-016	0.	2.1887e-016	0.
344.	2.1891e-016	0.	2.1891e-016	0.
348.	2.1895e-016	0.	2.1895e-016	0.
352.	2.1899e-016	0.	2.1899e-016	0.
356.	2.1903e-016	0.	2.1903e-016	0.
360.	2.1907e-016	0.	2.1907e-016	0.
364.	2.1911e-016	0.	2.1911e-016	0.
368.	2.1915e-016	0.	2.1915e-016	0.
372.	2.192e-016	0.	2.192e-016	0.
376.	2.1924e-016	0.	2.1924e-016	0.
380.	2.1928e-016	0.	2.1928e-016	0.
384.	2.1933e-016	0.	2.1933e-016	0.
388.	2.1937e-016	0.	2.1937e-016	0.
392.	2.1942e-016	0.	2.1942e-016	0.
396.	2.1946e-016	0.	2.1946e-016	0.
400.	2.1951e-016	0.	2.1951e-016	0.
404.	2.1955e-016	0.	2.1955e-016	0.
408.	2.196e-016	0.	2.196e-016	0.
412.	2.1965e-016	0.	2.1965e-016	0.
416.	2.197e-016	0.	2.197e-016	0.
420.	2.1975e-016	0.	2.1975e-016	0.
424.	2.1979e-016	0.	2.1979e-016	0.
428.	2.1984e-016	0.	2.1984e-016	0.
432.	2.1989e-016	0.	2.1989e-016	0.
436.	2.1995e-016	0.	2.1995e-016	0.
440.	2.1999e-016	0.	2.1999e-016	0.
444.	2.2004e-016	0.	2.2004e-016	0.
448.	2.201e-016	0.	2.201e-016	0.
452.	2.2015e-016	0.	2.2015e-016	0.
456.	2.202e-016	0.	2.202e-016	0.
460.	2.2026e-016	0.	2.2026e-016	0.
464.	2.2031e-016	0.	2.2031e-016	0.
468.	2.2036e-016	0.	2.2036e-016	0.
472.	2.2042e-016	0.	2.2042e-016	0.
476.	2.2047e-016	0.	2.2047e-016	0.
480.	2.2053e-016	0.	2.2053e-016	0.
484.	2.2059e-016	0.	2.2059e-016	0.
488.	2.2064e-016	0.	2.2064e-016	0.
492.	2.207e-016	0.	2.207e-016	0.
496.	2.2076e-016	0.	2.2076e-016	0.
