é¸îgêî (Hz)	êUïù (m)	à ëääp (ìx)	é¿ïî (m)	ãïïî (m)
4.	1.6384e-012	0.	1.6384e-012	0.
8.	1.6384e-012	0.	1.6384e-012	0.
12.	1.6384e-012	0.	1.6384e-012	0.
16.	1.6384e-012	0.	1.6384e-012	0.
20.	1.6384e-012	0.	1.6384e-012	0.
24.	1.6384e-012	0.	1.6384e-012	0.
28.	1.6385e-012	0.	1.6385e-012	0.
32.	1.6385e-012	0.	1.6385e-012	0.
36.	1.6385e-012	0.	1.6385e-012	0.
40.	1.6386e-012	0.	1.6386e-012	0.
44.	1.6386e-012	0.	1.6386e-012	0.
48.	1.6387e-012	0.	1.6387e-012	0.
52.	1.6387e-012	0.	1.6387e-012	0.
56.	1.6388e-012	0.	1.6388e-012	0.
60.	1.6389e-012	0.	1.6389e-012	0.
64.	1.6389e-012	0.	1.6389e-012	0.
68.	1.639e-012	0.	1.639e-012	0.
72.	1.6391e-012	0.	1.6391e-012	0.
76.	1.6392e-012	0.	1.6392e-012	0.
80.	1.6393e-012	0.	1.6393e-012	0.
84.	1.6394e-012	0.	1.6394e-012	0.
88.	1.6395e-012	0.	1.6395e-012	0.
92.	1.6396e-012	0.	1.6396e-012	0.
96.	1.6397e-012	0.	1.6397e-012	0.
100.	1.6398e-012	0.	1.6398e-012	0.
104.	1.6399e-012	0.	1.6399e-012	0.
108.	1.64e-012	0.	1.64e-012	0.
112.	1.6402e-012	0.	1.6402e-012	0.
116.	1.6403e-012	0.	1.6403e-012	0.
120.	1.6404e-012	0.	1.6404e-012	0.
124.	1.6406e-012	0.	1.6406e-012	0.
128.	1.6407e-012	0.	1.6407e-012	0.
132.	1.6409e-012	0.	1.6409e-012	0.
136.	1.641e-012	0.	1.641e-012	0.
140.	1.6412e-012	0.	1.6412e-012	0.
144.	1.6414e-012	0.	1.6414e-012	0.
148.	1.6415e-012	0.	1.6415e-012	0.
152.	1.6417e-012	0.	1.6417e-012	0.
156.	1.6419e-012	0.	1.6419e-012	0.
160.	1.6421e-012	0.	1.6421e-012	0.
164.	1.6423e-012	0.	1.6423e-012	0.
168.	1.6425e-012	0.	1.6425e-012	0.
172.	1.6427e-012	0.	1.6427e-012	0.
176.	1.6429e-012	0.	1.6429e-012	0.
180.	1.6431e-012	0.	1.6431e-012	0.
184.	1.6433e-012	0.	1.6433e-012	0.
188.	1.6435e-012	0.	1.6435e-012	0.
192.	1.6437e-012	0.	1.6437e-012	0.
196.	1.644e-012	0.	1.644e-012	0.
200.	1.6442e-012	0.	1.6442e-012	0.
204.	1.6444e-012	0.	1.6444e-012	0.
208.	1.6447e-012	0.	1.6447e-012	0.
212.	1.6449e-012	0.	1.6449e-012	0.
216.	1.6452e-012	0.	1.6452e-012	0.
220.	1.6454e-012	0.	1.6454e-012	0.
224.	1.6457e-012	0.	1.6457e-012	0.
228.	1.646e-012	0.	1.646e-012	0.
232.	1.6462e-012	0.	1.6462e-012	0.
236.	1.6465e-012	0.	1.6465e-012	0.
240.	1.6468e-012	0.	1.6468e-012	0.
244.	1.6471e-012	0.	1.6471e-012	0.
248.	1.6474e-012	0.	1.6474e-012	0.
252.	1.6477e-012	0.	1.6477e-012	0.
256.	1.648e-012	0.	1.648e-012	0.
260.	1.6483e-012	0.	1.6483e-012	0.
264.	1.6486e-012	0.	1.6486e-012	0.
268.	1.6489e-012	0.	1.6489e-012	0.
272.	1.6492e-012	0.	1.6492e-012	0.
276.	1.6495e-012	0.	1.6495e-012	0.
280.	1.6499e-012	0.	1.6499e-012	0.
284.	1.6502e-012	0.	1.6502e-012	0.
288.	1.6505e-012	0.	1.6505e-012	0.
292.	1.6509e-012	0.	1.6509e-012	0.
296.	1.6512e-012	0.	1.6512e-012	0.
300.	1.6516e-012	0.	1.6516e-012	0.
304.	1.652e-012	0.	1.652e-012	0.
308.	1.6523e-012	0.	1.6523e-012	0.
312.	1.6527e-012	0.	1.6527e-012	0.
316.	1.6531e-012	0.	1.6531e-012	0.
320.	1.6535e-012	0.	1.6535e-012	0.
324.	1.6538e-012	0.	1.6538e-012	0.
328.	1.6542e-012	0.	1.6542e-012	0.
332.	1.6546e-012	0.	1.6546e-012	0.
336.	1.655e-012	0.	1.655e-012	0.
340.	1.6554e-012	0.	1.6554e-012	0.
344.	1.6559e-012	0.	1.6559e-012	0.
348.	1.6563e-012	0.	1.6563e-012	0.
352.	1.6567e-012	0.	1.6567e-012	0.
356.	1.6571e-012	0.	1.6571e-012	0.
360.	1.6576e-012	0.	1.6576e-012	0.
364.	1.658e-012	0.	1.658e-012	0.
368.	1.6584e-012	0.	1.6584e-012	0.
372.	1.6589e-012	0.	1.6589e-012	0.
376.	1.6593e-012	0.	1.6593e-012	0.
380.	1.6598e-012	0.	1.6598e-012	0.
384.	1.6603e-012	0.	1.6603e-012	0.
388.	1.6607e-012	0.	1.6607e-012	0.
392.	1.6612e-012	0.	1.6612e-012	0.
396.	1.6617e-012	0.	1.6617e-012	0.
400.	1.6622e-012	0.	1.6622e-012	0.
404.	1.6627e-012	0.	1.6627e-012	0.
408.	1.6632e-012	0.	1.6632e-012	0.
412.	1.6637e-012	0.	1.6637e-012	0.
416.	1.6642e-012	0.	1.6642e-012	0.
420.	1.6647e-012	0.	1.6647e-012	0.
424.	1.6652e-012	0.	1.6652e-012	0.
428.	1.6658e-012	0.	1.6658e-012	0.
432.	1.6663e-012	0.	1.6663e-012	0.
436.	1.6668e-012	0.	1.6668e-012	0.
440.	1.6674e-012	0.	1.6674e-012	0.
444.	1.6679e-012	0.	1.6679e-012	0.
448.	1.6685e-012	0.	1.6685e-012	0.
452.	1.669e-012	0.	1.669e-012	0.
456.	1.6696e-012	0.	1.6696e-012	0.
460.	1.6702e-012	0.	1.6702e-012	0.
464.	1.6708e-012	0.	1.6708e-012	0.
468.	1.6713e-012	0.	1.6713e-012	0.
472.	1.6719e-012	0.	1.6719e-012	0.
476.	1.6725e-012	0.	1.6725e-012	0.
480.	1.6731e-012	0.	1.6731e-012	0.
484.	1.6737e-012	0.	1.6737e-012	0.
488.	1.6744e-012	0.	1.6744e-012	0.
492.	1.675e-012	0.	1.675e-012	0.
496.	1.6756e-012	0.	1.6756e-012	0.
