é¸îgêî (Hz)	êUïù (m)	à ëääp (ìx)	é¿ïî (m)	ãïïî (m)
4.	7.8864e-013	180.	-7.8864e-013	0.
8.	7.8864e-013	180.	-7.8864e-013	0.
12.	7.8865e-013	180.	-7.8865e-013	0.
16.	7.8865e-013	180.	-7.8865e-013	0.
20.	7.8866e-013	180.	-7.8866e-013	0.
24.	7.8867e-013	180.	-7.8867e-013	0.
28.	7.8868e-013	180.	-7.8868e-013	0.
32.	7.8869e-013	180.	-7.8869e-013	0.
36.	7.887e-013	180.	-7.887e-013	0.
40.	7.8872e-013	180.	-7.8872e-013	0.
44.	7.8874e-013	180.	-7.8874e-013	0.
48.	7.8876e-013	180.	-7.8876e-013	0.
52.	7.8878e-013	180.	-7.8878e-013	0.
56.	7.888e-013	180.	-7.888e-013	0.
60.	7.8882e-013	180.	-7.8882e-013	0.
64.	7.8885e-013	180.	-7.8885e-013	0.
68.	7.8887e-013	180.	-7.8887e-013	0.
72.	7.889e-013	180.	-7.889e-013	0.
76.	7.8893e-013	180.	-7.8893e-013	0.
80.	7.8896e-013	180.	-7.8896e-013	0.
84.	7.89e-013	180.	-7.89e-013	0.
88.	7.8903e-013	180.	-7.8903e-013	0.
92.	7.8907e-013	180.	-7.8907e-013	0.
96.	7.8911e-013	180.	-7.8911e-013	0.
100.	7.8915e-013	180.	-7.8915e-013	0.
104.	7.8919e-013	180.	-7.8919e-013	0.
108.	7.8923e-013	180.	-7.8923e-013	0.
112.	7.8928e-013	180.	-7.8928e-013	0.
116.	7.8932e-013	180.	-7.8932e-013	0.
120.	7.8937e-013	180.	-7.8937e-013	0.
124.	7.8942e-013	180.	-7.8942e-013	0.
128.	7.8947e-013	180.	-7.8947e-013	0.
132.	7.8952e-013	180.	-7.8952e-013	0.
136.	7.8958e-013	180.	-7.8958e-013	0.
140.	7.8963e-013	180.	-7.8963e-013	0.
144.	7.8969e-013	180.	-7.8969e-013	0.
148.	7.8975e-013	180.	-7.8975e-013	0.
152.	7.8981e-013	180.	-7.8981e-013	0.
156.	7.8988e-013	180.	-7.8988e-013	0.
160.	7.8994e-013	180.	-7.8994e-013	0.
164.	7.9001e-013	180.	-7.9001e-013	0.
168.	7.9007e-013	180.	-7.9007e-013	0.
172.	7.9014e-013	180.	-7.9014e-013	0.
176.	7.9021e-013	180.	-7.9021e-013	0.
180.	7.9029e-013	180.	-7.9029e-013	0.
184.	7.9036e-013	180.	-7.9036e-013	0.
188.	7.9044e-013	180.	-7.9044e-013	0.
192.	7.9051e-013	180.	-7.9051e-013	0.
196.	7.9059e-013	180.	-7.9059e-013	0.
200.	7.9067e-013	180.	-7.9067e-013	0.
204.	7.9076e-013	180.	-7.9076e-013	0.
208.	7.9084e-013	180.	-7.9084e-013	0.
212.	7.9093e-013	180.	-7.9093e-013	0.
216.	7.9102e-013	180.	-7.9102e-013	0.
220.	7.911e-013	180.	-7.911e-013	0.
224.	7.912e-013	180.	-7.912e-013	0.
228.	7.9129e-013	180.	-7.9129e-013	0.
232.	7.9138e-013	180.	-7.9138e-013	0.
236.	7.9148e-013	180.	-7.9148e-013	0.
240.	7.9158e-013	180.	-7.9158e-013	0.
244.	7.9168e-013	180.	-7.9168e-013	0.
248.	7.9178e-013	180.	-7.9178e-013	0.
252.	7.9188e-013	180.	-7.9188e-013	0.
256.	7.9198e-013	180.	-7.9198e-013	0.
260.	7.9209e-013	180.	-7.9209e-013	0.
264.	7.922e-013	180.	-7.922e-013	0.
268.	7.9231e-013	180.	-7.9231e-013	0.
272.	7.9242e-013	180.	-7.9242e-013	0.
276.	7.9253e-013	180.	-7.9253e-013	0.
280.	7.9265e-013	180.	-7.9265e-013	0.
284.	7.9276e-013	180.	-7.9276e-013	0.
288.	7.9288e-013	180.	-7.9288e-013	0.
292.	7.93e-013	180.	-7.93e-013	0.
296.	7.9312e-013	180.	-7.9312e-013	0.
300.	7.9324e-013	180.	-7.9324e-013	0.
304.	7.9337e-013	180.	-7.9337e-013	0.
308.	7.935e-013	180.	-7.935e-013	0.
312.	7.9362e-013	180.	-7.9362e-013	0.
316.	7.9375e-013	180.	-7.9375e-013	0.
320.	7.9389e-013	180.	-7.9389e-013	0.
324.	7.9402e-013	180.	-7.9402e-013	0.
328.	7.9415e-013	180.	-7.9415e-013	0.
332.	7.9429e-013	180.	-7.9429e-013	0.
336.	7.9443e-013	180.	-7.9443e-013	0.
340.	7.9457e-013	180.	-7.9457e-013	0.
344.	7.9471e-013	180.	-7.9471e-013	0.
348.	7.9486e-013	180.	-7.9486e-013	0.
352.	7.95e-013	180.	-7.95e-013	0.
356.	7.9515e-013	180.	-7.9515e-013	0.
360.	7.953e-013	180.	-7.953e-013	0.
364.	7.9545e-013	180.	-7.9545e-013	0.
368.	7.956e-013	180.	-7.956e-013	0.
372.	7.9576e-013	180.	-7.9576e-013	0.
376.	7.9591e-013	180.	-7.9591e-013	0.
380.	7.9607e-013	180.	-7.9607e-013	0.
384.	7.9623e-013	180.	-7.9623e-013	0.
388.	7.9639e-013	180.	-7.9639e-013	0.
392.	7.9656e-013	180.	-7.9656e-013	0.
396.	7.9672e-013	180.	-7.9672e-013	0.
400.	7.9689e-013	180.	-7.9689e-013	0.
404.	7.9706e-013	180.	-7.9706e-013	0.
408.	7.9723e-013	180.	-7.9723e-013	0.
412.	7.974e-013	180.	-7.974e-013	0.
416.	7.9757e-013	180.	-7.9757e-013	0.
420.	7.9775e-013	180.	-7.9775e-013	0.
424.	7.9793e-013	180.	-7.9793e-013	0.
428.	7.9811e-013	180.	-7.9811e-013	0.
432.	7.9829e-013	180.	-7.9829e-013	0.
436.	7.9847e-013	180.	-7.9847e-013	0.
440.	7.9866e-013	180.	-7.9866e-013	0.
444.	7.9884e-013	180.	-7.9884e-013	0.
448.	7.9903e-013	180.	-7.9903e-013	0.
452.	7.9922e-013	180.	-7.9922e-013	0.
456.	7.9942e-013	180.	-7.9942e-013	0.
460.	7.9961e-013	180.	-7.9961e-013	0.
464.	7.9981e-013	180.	-7.9981e-013	0.
468.	8.0001e-013	180.	-8.0001e-013	0.
472.	8.0021e-013	180.	-8.0021e-013	0.
476.	8.0041e-013	180.	-8.0041e-013	0.
480.	8.0061e-013	180.	-8.0061e-013	0.
484.	8.0082e-013	180.	-8.0082e-013	0.
488.	8.0102e-013	180.	-8.0102e-013	0.
492.	8.0123e-013	180.	-8.0123e-013	0.
496.	8.0144e-013	180.	-8.0144e-013	0.
500.	8.0166e-013	180.	-8.0166e-013	0.
504.	8.0187e-013	180.	-8.0187e-013	0.
508.	8.0209e-013	180.	-8.0209e-013	0.
512.	8.0231e-013	180.	-8.0231e-013	0.
516.	8.0253e-013	180.	-8.0253e-013	0.
520.	8.0275e-013	180.	-8.0275e-013	0.
524.	8.0298e-013	180.	-8.0298e-013	0.
528.	8.032e-013	180.	-8.032e-013	0.
532.	8.0343e-013	180.	-8.0343e-013	0.
536.	8.0366e-013	180.	-8.0366e-013	0.
540.	8.039e-013	180.	-8.039e-013	0.
544.	8.0413e-013	180.	-8.0413e-013	0.
548.	8.0437e-013	180.	-8.0437e-013	0.
552.	8.0461e-013	180.	-8.0461e-013	0.
556.	8.0485e-013	180.	-8.0485e-013	0.
560.	8.0509e-013	180.	-8.0509e-013	0.
564.	8.0534e-013	180.	-8.0534e-013	0.
568.	8.0558e-013	180.	-8.0558e-013	0.
572.	8.0583e-013	180.	-8.0583e-013	0.
576.	8.0608e-013	180.	-8.0608e-013	0.
580.	8.0633e-013	180.	-8.0633e-013	0.
584.	8.0659e-013	180.	-8.0659e-013	0.
588.	8.0685e-013	180.	-8.0685e-013	0.
592.	8.071e-013	180.	-8.071e-013	0.
596.	8.0737e-013	180.	-8.0737e-013	0.
600.	8.0763e-013	180.	-8.0763e-013	0.
604.	8.0789e-013	180.	-8.0789e-013	0.
608.	8.0816e-013	180.	-8.0816e-013	0.
612.	8.0843e-013	180.	-8.0843e-013	0.
616.	8.087e-013	180.	-8.087e-013	0.
620.	8.0898e-013	180.	-8.0898e-013	0.
624.	8.0925e-013	180.	-8.0925e-013	0.
628.	8.0953e-013	180.	-8.0953e-013	0.
632.	8.0981e-013	180.	-8.0981e-013	0.
636.	8.1009e-013	180.	-8.1009e-013	0.
640.	8.1038e-013	180.	-8.1038e-013	0.
644.	8.1066e-013	180.	-8.1066e-013	0.
648.	8.1095e-013	180.	-8.1095e-013	0.
652.	8.1124e-013	180.	-8.1124e-013	0.
656.	8.1153e-013	180.	-8.1153e-013	0.
660.	8.1183e-013	180.	-8.1183e-013	0.
664.	8.1213e-013	180.	-8.1213e-013	0.
668.	8.1243e-013	180.	-8.1243e-013	0.
672.	8.1273e-013	180.	-8.1273e-013	0.
676.	8.1303e-013	180.	-8.1303e-013	0.
680.	8.1334e-013	180.	-8.1334e-013	0.
684.	8.1365e-013	180.	-8.1365e-013	0.
688.	8.1396e-013	180.	-8.1396e-013	0.
692.	8.1427e-013	180.	-8.1427e-013	0.
696.	8.1459e-013	180.	-8.1459e-013	0.
700.	8.1491e-013	180.	-8.1491e-013	0.
704.	8.1523e-013	180.	-8.1523e-013	0.
708.	8.1555e-013	180.	-8.1555e-013	0.
712.	8.1587e-013	180.	-8.1587e-013	0.
716.	8.162e-013	180.	-8.162e-013	0.
720.	8.1653e-013	180.	-8.1653e-013	0.
724.	8.1686e-013	180.	-8.1686e-013	0.
728.	8.172e-013	180.	-8.172e-013	0.
732.	8.1753e-013	180.	-8.1753e-013	0.
736.	8.1787e-013	180.	-8.1787e-013	0.
740.	8.1821e-013	180.	-8.1821e-013	0.
744.	8.1856e-013	180.	-8.1856e-013	0.
748.	8.189e-013	180.	-8.189e-013	0.
752.	8.1925e-013	180.	-8.1925e-013	0.
756.	8.196e-013	180.	-8.196e-013	0.
760.	8.1996e-013	180.	-8.1996e-013	0.
764.	8.2032e-013	180.	-8.2032e-013	0.
768.	8.2067e-013	180.	-8.2067e-013	0.
772.	8.2104e-013	180.	-8.2104e-013	0.
776.	8.214e-013	180.	-8.214e-013	0.
780.	8.2177e-013	180.	-8.2177e-013	0.
784.	8.2214e-013	180.	-8.2214e-013	0.
788.	8.2251e-013	180.	-8.2251e-013	0.
792.	8.2288e-013	180.	-8.2288e-013	0.
796.	8.2326e-013	180.	-8.2326e-013	0.
800.	8.2364e-013	180.	-8.2364e-013	0.
804.	8.2402e-013	180.	-8.2402e-013	0.
808.	8.2441e-013	180.	-8.2441e-013	0.
812.	8.248e-013	180.	-8.248e-013	0.
816.	8.2519e-013	180.	-8.2519e-013	0.
820.	8.2558e-013	180.	-8.2558e-013	0.
824.	8.2598e-013	180.	-8.2598e-013	0.
828.	8.2637e-013	180.	-8.2637e-013	0.
832.	8.2678e-013	180.	-8.2678e-013	0.
836.	8.2718e-013	180.	-8.2718e-013	0.
840.	8.2759e-013	180.	-8.2759e-013	0.
844.	8.28e-013	180.	-8.28e-013	0.
848.	8.2841e-013	180.	-8.2841e-013	0.
852.	8.2883e-013	180.	-8.2883e-013	0.
856.	8.2925e-013	180.	-8.2925e-013	0.
860.	8.2967e-013	180.	-8.2967e-013	0.
864.	8.3009e-013	180.	-8.3009e-013	0.
868.	8.3052e-013	180.	-8.3052e-013	0.
872.	8.3095e-013	180.	-8.3095e-013	0.
876.	8.3139e-013	180.	-8.3139e-013	0.
880.	8.3182e-013	180.	-8.3182e-013	0.
884.	8.3226e-013	180.	-8.3226e-013	0.
888.	8.3271e-013	180.	-8.3271e-013	0.
892.	8.3315e-013	180.	-8.3315e-013	0.
896.	8.336e-013	180.	-8.336e-013	0.
900.	8.3405e-013	180.	-8.3405e-013	0.
904.	8.3451e-013	180.	-8.3451e-013	0.
908.	8.3497e-013	180.	-8.3497e-013	0.
912.	8.3543e-013	180.	-8.3543e-013	0.
916.	8.359e-013	180.	-8.359e-013	0.
920.	8.3637e-013	180.	-8.3637e-013	0.
924.	8.3684e-013	180.	-8.3684e-013	0.
928.	8.3731e-013	180.	-8.3731e-013	0.
932.	8.3779e-013	180.	-8.3779e-013	0.
936.	8.3828e-013	180.	-8.3828e-013	0.
940.	8.3876e-013	180.	-8.3876e-013	0.
944.	8.3925e-013	180.	-8.3925e-013	0.
948.	8.3974e-013	180.	-8.3974e-013	0.
952.	8.4024e-013	180.	-8.4024e-013	0.
956.	8.4074e-013	180.	-8.4074e-013	0.
960.	8.4124e-013	180.	-8.4124e-013	0.
964.	8.4175e-013	180.	-8.4175e-013	0.
968.	8.4226e-013	180.	-8.4226e-013	0.
972.	8.4278e-013	180.	-8.4278e-013	0.
976.	8.433e-013	180.	-8.433e-013	0.
980.	8.4382e-013	180.	-8.4382e-013	0.
984.	8.4435e-013	180.	-8.4435e-013	0.
988.	8.4488e-013	180.	-8.4488e-013	0.
992.	8.4541e-013	180.	-8.4541e-013	0.
996.	8.4595e-013	180.	-8.4595e-013	0.
1000.	8.4649e-013	180.	-8.4649e-013	0.
1004.	8.4704e-013	180.	-8.4704e-013	0.
1008.	8.4759e-013	180.	-8.4759e-013	0.
1012.	8.4814e-013	180.	-8.4814e-013	0.
1016.	8.487e-013	180.	-8.487e-013	0.
1020.	8.4926e-013	180.	-8.4926e-013	0.
1024.	8.4983e-013	180.	-8.4983e-013	0.
1028.	8.504e-013	180.	-8.504e-013	0.
1032.	8.5098e-013	180.	-8.5098e-013	0.
1036.	8.5156e-013	180.	-8.5156e-013	0.
1040.	8.5214e-013	180.	-8.5214e-013	0.
1044.	8.5273e-013	180.	-8.5273e-013	0.
1048.	8.5333e-013	180.	-8.5333e-013	0.
1052.	8.5393e-013	180.	-8.5393e-013	0.
1056.	8.5453e-013	180.	-8.5453e-013	0.
1060.	8.5514e-013	180.	-8.5514e-013	0.
1064.	8.5575e-013	180.	-8.5575e-013	0.
1068.	8.5637e-013	180.	-8.5637e-013	0.
1072.	8.5699e-013	180.	-8.5699e-013	0.
1076.	8.5762e-013	180.	-8.5762e-013	0.
1080.	8.5826e-013	180.	-8.5826e-013	0.
1084.	8.5889e-013	180.	-8.5889e-013	0.
1088.	8.5954e-013	180.	-8.5954e-013	0.
1092.	8.6019e-013	180.	-8.6019e-013	0.
1096.	8.6084e-013	180.	-8.6084e-013	0.
1100.	8.615e-013	180.	-8.615e-013	0.
1104.	8.6217e-013	180.	-8.6217e-013	0.
1108.	8.6284e-013	180.	-8.6284e-013	0.
1112.	8.6352e-013	180.	-8.6352e-013	0.
1116.	8.642e-013	180.	-8.642e-013	0.
1120.	8.6489e-013	180.	-8.6489e-013	0.
1124.	8.6558e-013	180.	-8.6558e-013	0.
1128.	8.6628e-013	180.	-8.6628e-013	0.
1132.	8.6699e-013	180.	-8.6699e-013	0.
1136.	8.677e-013	180.	-8.677e-013	0.
1140.	8.6842e-013	180.	-8.6842e-013	0.
1144.	8.6915e-013	180.	-8.6915e-013	0.
1148.	8.6988e-013	180.	-8.6988e-013	0.
1152.	8.7062e-013	180.	-8.7062e-013	0.
1156.	8.7136e-013	180.	-8.7136e-013	0.
1160.	8.7212e-013	180.	-8.7212e-013	0.
1164.	8.7288e-013	180.	-8.7288e-013	0.
1168.	8.7364e-013	180.	-8.7364e-013	0.
1172.	8.7442e-013	180.	-8.7442e-013	0.
1176.	8.752e-013	180.	-8.752e-013	0.
1180.	8.7599e-013	180.	-8.7599e-013	0.
1184.	8.7678e-013	180.	-8.7678e-013	0.
1188.	8.7759e-013	180.	-8.7759e-013	0.
1192.	8.784e-013	180.	-8.784e-013	0.
1196.	8.7922e-013	180.	-8.7922e-013	0.
1200.	8.8005e-013	180.	-8.8005e-013	0.
1204.	8.8088e-013	180.	-8.8088e-013	0.
1208.	8.8173e-013	180.	-8.8173e-013	0.
1212.	8.8258e-013	180.	-8.8258e-013	0.
1216.	8.8344e-013	180.	-8.8344e-013	0.
1220.	8.8432e-013	180.	-8.8432e-013	0.
1224.	8.852e-013	180.	-8.852e-013	0.
1228.	8.8608e-013	180.	-8.8608e-013	0.
1232.	8.8698e-013	180.	-8.8698e-013	0.
1236.	8.8789e-013	180.	-8.8789e-013	0.
1240.	8.8881e-013	180.	-8.8881e-013	0.
1244.	8.8974e-013	180.	-8.8974e-013	0.
1248.	8.9068e-013	180.	-8.9068e-013	0.
1252.	8.9163e-013	180.	-8.9163e-013	0.
1256.	8.9259e-013	180.	-8.9259e-013	0.
1260.	8.9356e-013	180.	-8.9356e-013	0.
1264.	8.9454e-013	180.	-8.9454e-013	0.
1268.	8.9554e-013	180.	-8.9554e-013	0.
1272.	8.9654e-013	180.	-8.9654e-013	0.
1276.	8.9756e-013	180.	-8.9756e-013	0.
1280.	8.9859e-013	180.	-8.9859e-013	0.
1284.	8.9963e-013	180.	-8.9963e-013	0.
1288.	9.0068e-013	180.	-9.0068e-013	0.
1292.	9.0175e-013	180.	-9.0175e-013	0.
