節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
80	0.	-66.5	-8.1439e-015	0.
81	0.	-66.26	-5.6396	0.
82	0.	-65.543	-11.239	0.
83	0.	-64.354	-16.757	0.
84	0.	-62.701	-22.154	0.
85	0.	-60.597	-27.391	0.
86	0.	-58.055	-32.432	0.
87	0.	-55.096	-37.238	0.
88	0.	-51.739	-41.777	0.
89	0.	-48.01	-46.014	0.
90	0.	-43.935	-49.92	0.
91	0.	-39.543	-53.466	0.
92	0.	-34.866	-56.627	0.
93	0.	-29.939	-59.38	0.
94	0.	-24.795	-61.705	0.
95	0.	-19.473	-63.585	0.
96	0.	-14.01	-65.007	0.
97	0.	-8.4467	-65.961	0.
98	0.	-2.8223	-66.44	0.
99	0.	2.8223	-66.44	0.
100	0.	8.4467	-65.961	0.
101	0.	14.01	-65.007	0.
102	0.	19.473	-63.585	0.
103	0.	24.795	-61.705	0.
104	0.	29.939	-59.38	0.
105	0.	34.866	-56.627	0.
106	0.	39.543	-53.466	0.
107	0.	43.935	-49.92	0.
108	0.	48.01	-46.014	0.
109	0.	51.739	-41.777	0.
110	0.	55.096	-37.238	0.
111	0.	58.055	-32.432	0.
112	0.	60.597	-27.391	0.
113	0.	62.701	-22.154	0.
114	0.	64.354	-16.757	0.
115	0.	65.543	-11.239	0.
116	0.	66.26	-5.6396	0.
117	0.	66.5	-1.9429e-013	0.
118	0.	66.26	5.6396	0.
119	0.	65.543	11.239	0.
120	0.	64.354	16.757	0.
121	0.	62.701	22.154	0.
122	0.	60.597	27.391	0.
123	0.	58.055	32.432	0.
124	0.	55.096	37.238	0.
125	0.	51.739	41.777	0.
126	0.	48.01	46.014	0.
127	0.	43.935	49.92	0.
128	0.	39.543	53.466	0.
129	0.	34.866	56.627	0.
130	0.	29.939	59.38	0.
131	0.	24.795	61.705	0.
132	0.	19.473	63.585	0.
133	0.	14.01	65.007	0.
134	0.	8.4467	65.961	0.
135	0.	2.8223	66.44	0.
136	0.	-2.8223	66.44	0.
137	0.	-8.4467	65.961	0.
138	0.	-14.01	65.007	0.
139	0.	-19.473	63.585	0.
140	0.	-24.795	61.705	0.
141	0.	-29.939	59.38	0.
142	0.	-34.866	56.627	0.
143	0.	-39.543	53.466	0.
144	0.	-43.935	49.92	0.
145	0.	-48.01	46.014	0.
146	0.	-51.739	41.777	0.
147	0.	-55.096	37.238	0.
148	0.	-58.055	32.432	0.
149	0.	-60.597	27.391	0.
150	0.	-62.701	22.154	0.
151	0.	-64.354	16.757	0.
152	0.	-66.26	5.6396	0.
153	0.	-65.543	11.239	0.
154	16.875	-66.26	5.6396	-5.7029
155	16.875	-65.543	11.239	-5.6612
156	16.875	-64.354	16.757	-5.5783
157	16.875	-62.701	22.154	-5.4549
158	16.875	-60.597	27.391	-5.292
159	16.875	-58.055	32.432	-5.0906
160	16.875	-55.096	37.238	-4.8523
161	16.875	-51.739	41.777	-4.5788
162	16.875	-48.01	46.014	-4.2719
163	16.875	-43.935	49.92	-3.9341
164	16.875	-39.543	53.466	-3.5678
165	16.875	-34.866	56.627	-3.1759
166	16.875	-29.939	59.38	-2.7619
167	16.875	-24.795	61.705	-2.3293
168	16.875	-19.473	63.585	-1.8822
169	16.875	-14.01	65.007	-1.4243
170	16.875	-8.4467	65.961	-0.95901
171	16.875	-2.8223	66.44	-0.48898
172	16.875	2.8223	66.44	-2.0793e-002
173	16.875	8.4467	65.961	0.46689
174	16.875	14.01	65.007	0.95155
175	16.875	19.473	63.585	1.4278
176	16.875	24.795	61.705	1.8935
177	16.875	29.939	59.38	2.3445
178	16.875	34.866	56.627	2.7772
179	16.875	39.543	53.466	3.1885
180	16.875	43.935	49.92	3.5754
181	16.875	48.01	46.014	3.9353
182	16.875	51.739	41.777	4.2659
183	16.875	55.096	37.238	4.5655
184	16.875	58.055	32.432	4.833
185	16.875	60.597	27.391	5.0681
186	16.875	62.701	22.154	5.271
187	16.875	64.354	16.757	5.4404
188	16.875	65.543	11.239	5.5718
189	16.875	66.26	5.6396	5.6502
190	16.875	66.5	-1.9429e-013	5.6953
191	16.875	66.26	-5.6396	5.7297
192	16.875	65.543	-11.239	5.6805
193	16.875	64.354	-16.757	5.598
194	16.875	62.701	-22.154	5.4703
195	16.875	60.597	-27.391	5.3023
196	16.875	58.055	-32.432	5.0961
197	16.875	55.096	-37.238	4.8535
198	16.875	51.739	-41.777	4.5763
199	16.875	48.01	-46.014	4.2664
200	16.875	43.935	-49.92	3.9262
201	16.875	39.543	-53.466	3.5582
202	16.875	34.866	-56.627	3.1655
203	16.875	29.939	-59.38	2.7513
204	16.875	24.795	-61.705	2.3193
205	16.875	19.473	-63.585	1.8734
206	16.875	14.01	-65.007	1.4173
207	16.875	8.4467	-65.961	0.95421
208	16.875	2.8223	-66.44	0.48671
209	16.875	-2.8223	-66.44	2.1508e-002
210	16.875	-8.4467	-65.961	-0.46219
211	16.875	-14.01	-65.007	-0.9409
212	16.875	-19.473	-63.585	-1.4086
213	16.875	-24.795	-61.705	-1.8606
214	16.875	-29.939	-59.38	-2.3161
215	16.875	-34.866	-56.627	-2.7281
216	16.875	-39.543	-53.466	-3.1454
217	16.875	-43.935	-49.92	-3.5434
218	16.875	-48.01	-46.014	-3.9142
219	16.875	-51.739	-41.777	-4.2564
220	16.875	-55.096	-37.238	-4.5675
221	16.875	-58.055	-32.432	-4.8448
222	16.875	-60.597	-27.391	-5.0862
223	16.875	-62.701	-22.154	-5.2899
224	16.875	-64.354	-16.757	-5.4544
225	16.875	-65.543	-11.239	-5.5785
226	16.875	-66.26	-5.6396	-5.6616
227	33.75	-66.26	5.6396	-12.531
228	33.75	-65.543	11.239	-12.44
229	33.75	-64.354	16.757	-12.26
230	33.75	-62.701	22.154	-11.992
231	33.75	-60.597	27.391	-11.638
232	33.75	-58.055	32.432	-11.201
233	33.75	-55.096	37.238	-10.684
234	33.75	-51.739	41.777	-10.089
235	33.75	-48.01	46.014	-9.4219
236	33.75	-43.935	49.92	-8.6866
237	33.75	-39.543	53.466	-7.8884
238	33.75	-34.866	56.627	-7.0331
239	33.75	-29.939	59.38	-6.1269
240	33.75	-24.795	61.705	-5.1766
241	33.75	-19.473	63.585	-4.1895
242	33.75	-14.01	65.007	-3.1728
243	33.75	-8.4467	65.961	-2.1338
244	33.75	-2.8223	66.44	-1.0785
245	33.75	2.8223	66.44	-1.9114e-002
246	33.75	8.4467	65.961	1.0431
247	33.75	14.01	65.007	2.0964
248	33.75	19.473	63.585	3.1371
249	33.75	24.795	61.705	4.1552
250	33.75	29.939	59.38	5.1424
251	33.75	34.866	56.627	6.0913
252	33.75	39.543	53.466	6.9949
253	33.75	43.935	49.92	7.847
254	33.75	48.01	46.014	8.6418
255	33.75	51.739	41.777	9.3744
256	33.75	55.096	37.238	10.04
257	33.75	58.055	32.432	10.635
258	33.75	60.597	27.391	11.156
259	33.75	62.701	22.154	11.6
260	33.75	64.354	16.757	11.966
261	33.75	65.543	11.239	12.251
262	33.75	66.26	5.6396	12.44
263	33.75	66.5	-1.9429e-013	12.532
264	33.75	66.26	-5.6396	12.563
265	33.75	65.543	-11.239	12.479
266	33.75	64.354	-16.757	12.298
267	33.75	62.701	-22.154	12.023
268	33.75	60.597	-27.391	11.662
269	33.75	58.055	-32.432	11.216
270	33.75	55.096	-37.238	10.689
271	33.75	51.739	-41.777	10.085
272	33.75	48.01	-46.014	9.41
273	33.75	43.935	-49.92	8.668
274	33.75	39.543	-53.466	7.8649
275	33.75	34.866	-56.627	7.0068
276	33.75	29.939	-59.38	6.1002
277	33.75	24.795	-61.705	5.1519
278	33.75	19.473	-63.585	4.1688
279	33.75	14.01	-65.007	3.1578
280	33.75	8.4467	-65.961	2.1259
281	33.75	2.8223	-66.44	1.0783
282	33.75	-2.8223	-66.44	2.6702e-002
283	33.75	-8.4467	-65.961	-1.0283
284	33.75	-14.01	-65.007	-2.0753
285	33.75	-19.473	-63.585	-3.1122
286	33.75	-24.795	-61.705	-4.1236
287	33.75	-29.939	-59.38	-5.1241
288	33.75	-34.866	-56.627	-6.0681
289	33.75	-39.543	-53.466	-6.9742
290	33.75	-43.935	-49.92	-7.8357
291	33.75	-48.01	-46.014	-8.642
292	33.75	-51.739	-41.777	-9.3869
293	33.75	-55.096	-37.238	-10.064
294	33.75	-58.055	-32.432	-10.667
295	33.75	-60.597	-27.391	-11.192
296	33.75	-62.701	-22.154	-11.635
297	33.75	-64.354	-16.757	-11.992
298	33.75	-65.543	-11.239	-12.262
299	33.75	-66.26	-5.6396	-12.442
300	50.625	-66.26	5.6396	-17.934
301	50.625	-65.543	11.239	-17.803
302	50.625	-64.354	16.757	-17.546
303	50.625	-62.701	22.154	-17.163
304	50.625	-60.597	27.391	-16.658
305	50.625	-58.055	32.432	-16.034
306	50.625	-55.096	37.238	-15.296
307	50.625	-51.739	41.777	-14.448
308	50.625	-48.01	46.014	-13.496
309	50.625	-43.935	49.92	-12.446
310	50.625	-39.543	53.466	-11.306
311	50.625	-34.866	56.627	-10.084
312	50.625	-29.939	59.38	-8.7888
313	50.625	-24.795	61.705	-7.4288
314	50.625	-19.473	63.585	-6.0145
315	50.625	-14.01	65.007	-4.5561
316	50.625	-8.4467	65.961	-3.0645
317	50.625	-2.8223	66.44	-1.55
318	50.625	2.8223	66.44	-2.6312e-002
319	50.625	8.4467	65.961	1.4984
320	50.625	14.01	65.007	3.0104
321	50.625	19.473	63.585	4.4999
322	50.625	24.795	61.705	5.9553
323	50.625	29.939	59.38	7.3662
324	50.625	34.866	56.627	8.7226
325	50.625	39.543	53.466	10.015
326	50.625	43.935	49.92	11.235
327	50.625	48.01	46.014	12.373
328	50.625	51.739	41.777	13.424
329	50.625	55.096	37.238	14.38
330	50.625	58.055	32.432	15.236
331	50.625	60.597	27.391	15.985
332	50.625	62.701	22.154	16.622
333	50.625	64.354	16.757	17.142
334	50.625	65.543	11.239	17.542
335	50.625	66.26	5.6396	17.809
336	50.625	66.5	-1.9429e-013	17.939
337	50.625	66.26	-5.6396	17.968
338	50.625	65.543	-11.239	17.844
339	50.625	64.354	-16.757	17.589
340	50.625	62.701	-22.154	17.204
341	50.625	60.597	-27.391	16.693
342	50.625	58.055	-32.432	16.058
343	50.625	55.096	-37.238	15.307
344	50.625	51.739	-41.777	14.445
345	50.625	48.01	-46.014	13.48
346	50.625	43.935	-49.92	12.419
347	50.625	39.543	-53.466	11.271
348	50.625	34.866	-56.627	10.044
349	50.625	29.939	-59.38	8.7476
350	50.625	24.795	-61.705	7.3912
351	50.625	19.473	-63.585	5.9842
352	50.625	14.01	-65.007	4.5362
353	50.625	8.4467	-65.961	3.057
354	50.625	2.8223	-66.44	1.5557
355	50.625	-2.8223	-66.44	4.4485e-002
356	50.625	-8.4467	-65.961	-1.4697
357	50.625	-14.01	-65.007	-2.9739
358	50.625	-19.473	-63.585	-4.4605
359	50.625	-24.795	-61.705	-5.9141
360	50.625	-29.939	-59.38	-7.3438
361	50.625	-34.866	-56.627	-8.7035
362	50.625	-39.543	-53.466	-10.001
363	50.625	-43.935	-49.92	-11.235
364	50.625	-48.01	-46.014	-12.388
365	50.625	-51.739	-41.777	-13.452
366	50.625	-55.096	-37.238	-14.418
367	50.625	-58.055	-32.432	-15.278
368	50.625	-60.597	-27.391	-16.027
369	50.625	-62.701	-22.154	-16.658
370	50.625	-64.354	-16.757	-17.167
371	50.625	-65.543	-11.239	-17.551
372	50.625	-66.26	-5.6396	-17.808
373	67.5	-66.26	5.6396	-23.038
374	67.5	-65.543	11.239	-22.87
375	67.5	-64.354	16.757	-22.539
376	67.5	-62.701	22.154	-22.049
377	67.5	-60.597	27.391	-21.401
378	67.5	-58.055	32.432	-20.602
379	67.5	-55.096	37.238	-19.655
380	67.5	-51.739	41.777	-18.568
381	67.5	-48.01	46.014	-17.348
382	67.5	-43.935	49.92	-16.002
383	67.5	-39.543	53.466	-14.539
384	67.5	-34.866	56.627	-12.97
385	67.5	-29.939	59.38	-11.305
386	67.5	-24.795	61.705	-9.5569
387	67.5	-19.473	63.585	-7.7378
388	67.5	-14.01	65.007	-5.8612
389	67.5	-8.4467	65.961	-3.9417
