節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	
108	0.	48.01	-46.014	
109	0.	51.739	-41.777	
110	0.	55.096	-37.238	
111	0.	58.055	-32.432	
112	0.	60.597	-27.391	
113	0.	62.701	-22.154	
114	0.	64.354	-16.757	
115	0.	65.543	-11.239	
116	0.	66.26	-5.6396	
117	0.	66.5	-1.9429e-013	
190	16.875	66.5	-1.9429e-013	
191	16.875	66.26	-5.6396	
192	16.875	65.543	-11.239	
193	16.875	64.354	-16.757	
194	16.875	62.701	-22.154	
195	16.875	60.597	-27.391	
196	16.875	58.055	-32.432	
197	16.875	55.096	-37.238	
198	16.875	51.739	-41.777	
199	16.875	48.01	-46.014	
263	33.75	66.5	-1.9429e-013	
264	33.75	66.26	-5.6396	
265	33.75	65.543	-11.239	
266	33.75	64.354	-16.757	
267	33.75	62.701	-22.154	
268	33.75	60.597	-27.391	
269	33.75	58.055	-32.432	
270	33.75	55.096	-37.238	
271	33.75	51.739	-41.777	
272	33.75	48.01	-46.014	
336	50.625	66.5	-1.9429e-013	
337	50.625	66.26	-5.6396	
338	50.625	65.543	-11.239	
339	50.625	64.354	-16.757	
340	50.625	62.701	-22.154	
341	50.625	60.597	-27.391	
342	50.625	58.055	-32.432	
343	50.625	55.096	-37.238	
344	50.625	51.739	-41.777	
345	50.625	48.01	-46.014	
409	67.5	66.5	-1.9429e-013	
410	67.5	66.26	-5.6396	
411	67.5	65.543	-11.239	
412	67.5	64.354	-16.757	
413	67.5	62.701	-22.154	
414	67.5	60.597	-27.391	
415	67.5	58.055	-32.432	
416	67.5	55.096	-37.238	
417	67.5	51.739	-41.777	
418	67.5	48.01	-46.014	
482	84.375	66.5	-1.9429e-013	
483	84.375	66.26	-5.6396	
484	84.375	65.543	-11.239	
485	84.375	64.354	-16.757	
486	84.375	62.701	-22.154	
487	84.375	60.597	-27.391	
488	84.375	58.055	-32.432	
489	84.375	55.096	-37.238	
490	84.375	51.739	-41.777	
491	84.375	48.01	-46.014	
555	101.25	66.5	-1.9429e-013	
556	101.25	66.26	-5.6396	
557	101.25	65.543	-11.239	
558	101.25	64.354	-16.757	
559	101.25	62.701	-22.154	
560	101.25	60.597	-27.391	
561	101.25	58.055	-32.432	
562	101.25	55.096	-37.238	
563	101.25	51.739	-41.777	
564	101.25	48.01	-46.014	
628	118.13	66.5	-1.9429e-013	
629	118.13	66.26	-5.6396	
630	118.13	65.543	-11.239	
631	118.13	64.354	-16.757	
632	118.13	62.701	-22.154	
633	118.13	60.597	-27.391	
634	118.13	58.055	-32.432	
635	118.13	55.096	-37.238	
636	118.13	51.739	-41.777	
637	118.13	48.01	-46.014	
701	135.	48.01	-46.014	
702	135.	51.739	-41.777	
703	135.	55.096	-37.238	
704	135.	58.055	-32.432	
705	135.	60.597	-27.391	
706	135.	62.701	-22.154	
707	135.	64.354	-16.757	
708	135.	65.543	-11.239	
709	135.	66.26	-5.6396	
710	135.	66.5	-1.9429e-013	
1611	0.	49.92	-43.935	
1612	8.4375	48.01	-46.014	
1613	0.	53.466	-39.543	
1614	8.4375	51.739	-41.777	
1615	0.	56.627	-34.866	
1616	8.4375	55.096	-37.238	
