節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	
80	0.	-66.5	-8.1439e-015	
81	0.	-66.26	-5.6396	
82	0.	-65.543	-11.239	
83	0.	-64.354	-16.757	
84	0.	-62.701	-22.154	
85	0.	-60.597	-27.391	
86	0.	-58.055	-32.432	
87	0.	-55.096	-37.238	
88	0.	-51.739	-41.777	
89	0.	-48.01	-46.014	
90	0.	-43.935	-49.92	
91	0.	-39.543	-53.466	
92	0.	-34.866	-56.627	
93	0.	-29.939	-59.38	
94	0.	-24.795	-61.705	
95	0.	-19.473	-63.585	
96	0.	-14.01	-65.007	
97	0.	-8.4467	-65.961	
98	0.	-2.8223	-66.44	
99	0.	2.8223	-66.44	
100	0.	8.4467	-65.961	
101	0.	14.01	-65.007	
102	0.	19.473	-63.585	
103	0.	24.795	-61.705	
104	0.	29.939	-59.38	
105	0.	34.866	-56.627	
106	0.	39.543	-53.466	
107	0.	43.935	-49.92	
108	0.	48.01	-46.014	
109	0.	51.739	-41.777	
110	0.	55.096	-37.238	
111	0.	58.055	-32.432	
112	0.	60.597	-27.391	
113	0.	62.701	-22.154	
114	0.	64.354	-16.757	
115	0.	65.543	-11.239	
116	0.	66.26	-5.6396	
117	0.	66.5	-1.9429e-013	
118	0.	66.26	5.6396	
119	0.	65.543	11.239	
120	0.	64.354	16.757	
121	0.	62.701	22.154	
122	0.	60.597	27.391	
123	0.	58.055	32.432	
124	0.	55.096	37.238	
125	0.	51.739	41.777	
126	0.	48.01	46.014	
127	0.	43.935	49.92	
128	0.	39.543	53.466	
129	0.	34.866	56.627	
130	0.	29.939	59.38	
131	0.	24.795	61.705	
132	0.	19.473	63.585	
133	0.	14.01	65.007	
134	0.	8.4467	65.961	
135	0.	2.8223	66.44	
136	0.	-2.8223	66.44	
137	0.	-8.4467	65.961	
138	0.	-14.01	65.007	
139	0.	-19.473	63.585	
140	0.	-24.795	61.705	
141	0.	-29.939	59.38	
142	0.	-34.866	56.627	
143	0.	-39.543	53.466	
144	0.	-43.935	49.92	
145	0.	-48.01	46.014	
146	0.	-51.739	41.777	
147	0.	-55.096	37.238	
148	0.	-58.055	32.432	
149	0.	-60.597	27.391	
150	0.	-62.701	22.154	
151	0.	-64.354	16.757	
152	0.	-66.26	5.6396	
153	0.	-65.543	11.239	
154	16.875	-66.26	5.6396	
155	16.875	-65.543	11.239	
156	16.875	-64.354	16.757	
157	16.875	-62.701	22.154	
158	16.875	-60.597	27.391	
159	16.875	-58.055	32.432	
160	16.875	-55.096	37.238	
161	16.875	-51.739	41.777	
162	16.875	-48.01	46.014	
163	16.875	-43.935	49.92	
164	16.875	-39.543	53.466	
165	16.875	-34.866	56.627	
166	16.875	-29.939	59.38	
167	16.875	-24.795	61.705	
168	16.875	-19.473	63.585	
169	16.875	-14.01	65.007	
170	16.875	-8.4467	65.961	
171	16.875	-2.8223	66.44	
172	16.875	2.8223	66.44	
173	16.875	8.4467	65.961	
174	16.875	14.01	65.007	
175	16.875	19.473	63.585	
176	16.875	24.795	61.705	
177	16.875	29.939	59.38	
178	16.875	34.866	56.627	
179	16.875	39.543	53.466	
180	16.875	43.935	49.92	
181	16.875	48.01	46.014	
182	16.875	51.739	41.777	
183	16.875	55.096	37.238	
184	16.875	58.055	32.432	
185	16.875	60.597	27.391	
186	16.875	62.701	22.154	
187	16.875	64.354	16.757	
188	16.875	65.543	11.239	
189	16.875	66.26	5.6396	
190	16.875	66.5	-1.9429e-013	
191	16.875	66.26	-5.6396	
192	16.875	65.543	-11.239	
193	16.875	64.354	-16.757	
194	16.875	62.701	-22.154	
195	16.875	60.597	-27.391	
196	16.875	58.055	-32.432	
197	16.875	55.096	-37.238	
198	16.875	51.739	-41.777	
199	16.875	48.01	-46.014	
200	16.875	43.935	-49.92	
201	16.875	39.543	-53.466	
202	16.875	34.866	-56.627	
203	16.875	29.939	-59.38	
204	16.875	24.795	-61.705	
205	16.875	19.473	-63.585	
206	16.875	14.01	-65.007	
207	16.875	8.4467	-65.961	
208	16.875	2.8223	-66.44	
209	16.875	-2.8223	-66.44	
210	16.875	-8.4467	-65.961	
211	16.875	-14.01	-65.007	
212	16.875	-19.473	-63.585	
213	16.875	-24.795	-61.705	
214	16.875	-29.939	-59.38	
215	16.875	-34.866	-56.627	
216	16.875	-39.543	-53.466	
217	16.875	-43.935	-49.92	
218	16.875	-48.01	-46.014	
219	16.875	-51.739	-41.777	
220	16.875	-55.096	-37.238	
221	16.875	-58.055	-32.432	
222	16.875	-60.597	-27.391	
223	16.875	-62.701	-22.154	
224	16.875	-64.354	-16.757	
225	16.875	-65.543	-11.239	
226	16.875	-66.26	-5.6396	
227	33.75	-66.26	5.6396	
228	33.75	-65.543	11.239	
229	33.75	-64.354	16.757	
230	33.75	-62.701	22.154	
231	33.75	-60.597	27.391	
232	33.75	-58.055	32.432	
233	33.75	-55.096	37.238	
234	33.75	-51.739	41.777	
235	33.75	-48.01	46.014	
236	33.75	-43.935	49.92	
237	33.75	-39.543	53.466	
238	33.75	-34.866	56.627	
239	33.75	-29.939	59.38	
240	33.75	-24.795	61.705	
241	33.75	-19.473	63.585	
242	33.75	-14.01	65.007	
243	33.75	-8.4467	65.961	
244	33.75	-2.8223	66.44	
245	33.75	2.8223	66.44	
246	33.75	8.4467	65.961	
247	33.75	14.01	65.007	
248	33.75	19.473	63.585	
249	33.75	24.795	61.705	
250	33.75	29.939	59.38	
251	33.75	34.866	56.627	
252	33.75	39.543	53.466	
