節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
80	0.	-66.5	-8.1439e-015	0.
81	0.	-66.26	-5.6396	0.
82	0.	-65.543	-11.239	0.
83	0.	-64.354	-16.757	0.
84	0.	-62.701	-22.154	0.
85	0.	-60.597	-27.391	0.
86	0.	-58.055	-32.432	0.
87	0.	-55.096	-37.238	0.
88	0.	-51.739	-41.777	0.
89	0.	-48.01	-46.014	0.
90	0.	-43.935	-49.92	0.
91	0.	-39.543	-53.466	0.
92	0.	-34.866	-56.627	0.
93	0.	-29.939	-59.38	0.
94	0.	-24.795	-61.705	0.
95	0.	-19.473	-63.585	0.
96	0.	-14.01	-65.007	0.
97	0.	-8.4467	-65.961	0.
98	0.	-2.8223	-66.44	0.
99	0.	2.8223	-66.44	0.
100	0.	8.4467	-65.961	0.
101	0.	14.01	-65.007	0.
102	0.	19.473	-63.585	0.
103	0.	24.795	-61.705	0.
104	0.	29.939	-59.38	0.
105	0.	34.866	-56.627	0.
106	0.	39.543	-53.466	0.
107	0.	43.935	-49.92	0.
108	0.	48.01	-46.014	0.
109	0.	51.739	-41.777	0.
110	0.	55.096	-37.238	0.
111	0.	58.055	-32.432	0.
112	0.	60.597	-27.391	0.
113	0.	62.701	-22.154	0.
114	0.	64.354	-16.757	0.
115	0.	65.543	-11.239	0.
116	0.	66.26	-5.6396	0.
117	0.	66.5	-1.9429e-013	0.
118	0.	66.26	5.6396	0.
119	0.	65.543	11.239	0.
120	0.	64.354	16.757	0.
121	0.	62.701	22.154	0.
122	0.	60.597	27.391	0.
123	0.	58.055	32.432	0.
124	0.	55.096	37.238	0.
125	0.	51.739	41.777	0.
126	0.	48.01	46.014	0.
127	0.	43.935	49.92	0.
128	0.	39.543	53.466	0.
129	0.	34.866	56.627	0.
130	0.	29.939	59.38	0.
131	0.	24.795	61.705	0.
132	0.	19.473	63.585	0.
133	0.	14.01	65.007	0.
134	0.	8.4467	65.961	0.
135	0.	2.8223	66.44	0.
136	0.	-2.8223	66.44	0.
137	0.	-8.4467	65.961	0.
138	0.	-14.01	65.007	0.
139	0.	-19.473	63.585	0.
140	0.	-24.795	61.705	0.
141	0.	-29.939	59.38	0.
142	0.	-34.866	56.627	0.
143	0.	-39.543	53.466	0.
144	0.	-43.935	49.92	0.
145	0.	-48.01	46.014	0.
146	0.	-51.739	41.777	0.
147	0.	-55.096	37.238	0.
148	0.	-58.055	32.432	0.
149	0.	-60.597	27.391	0.
150	0.	-62.701	22.154	0.
151	0.	-64.354	16.757	0.
152	0.	-66.26	5.6396	0.
153	0.	-65.543	11.239	0.
154	16.875	-66.26	5.6396	-2.4197e-010
155	16.875	-65.543	11.239	-2.7305e-010
156	16.875	-64.354	16.757	-2.5735e-010
157	16.875	-62.701	22.154	-1.9833e-010
158	16.875	-60.597	27.391	-1.0558e-010
159	16.875	-58.055	32.432	6.653e-012
160	16.875	-55.096	37.238	1.2166e-010
161	16.875	-51.739	41.777	2.2267e-010
162	16.875	-48.01	46.014	2.9519e-010
163	16.875	-43.935	49.92	3.2888e-010
164	16.875	-39.543	53.466	3.1879e-010
165	16.875	-34.866	56.627	2.6575e-010
166	16.875	-29.939	59.38	1.7602e-010
167	16.875	-24.795	61.705	6.0222e-011
168	16.875	-19.473	63.585	-6.8064e-011
169	16.875	-14.01	65.007	-1.9392e-010
170	16.875	-8.4467	65.961	-3.0258e-010
171	16.875	-2.8223	66.44	-3.8105e-010
172	16.875	2.8223	66.44	-4.2679e-010
173	16.875	8.4467	65.961	-4.2583e-010
174	16.875	14.01	65.007	-3.8157e-010
175	16.875	19.473	63.585	-2.9635e-010
176	16.875	24.795	61.705	-1.7797e-010
177	16.875	29.939	59.38	-3.8369e-011
178	16.875	34.866	56.627	1.0809e-010
179	16.875	39.543	53.466	2.4601e-010
180	16.875	43.935	49.92	3.6045e-010
181	16.875	48.01	46.014	4.3853e-010
182	16.875	51.739	41.777	4.7088e-010
183	16.875	55.096	37.238	4.5278e-010
184	16.875	58.055	32.432	3.8496e-010
185	16.875	60.597	27.391	2.7369e-010
186	16.875	62.701	22.154	1.3033e-010
187	16.875	64.354	16.757	-2.9621e-011
188	16.875	65.543	11.239	-1.8825e-010
189	16.875	66.26	5.6396	-3.2649e-010
190	16.875	66.5	-1.9429e-013	-4.3193e-010
191	16.875	66.26	-5.6396	-4.9157e-010
192	16.875	65.543	-11.239	-4.9499e-010
193	16.875	64.354	-16.757	-4.4296e-010
194	16.875	62.701	-22.154	-3.409e-010
195	16.875	60.597	-27.391	-2.0009e-010
196	16.875	58.055	-32.432	-3.6046e-011
197	16.875	55.096	-37.238	1.335e-010
198	16.875	51.739	-41.777	2.9058e-010
199	16.875	48.01	-46.014	4.1901e-010
200	16.875	43.935	-49.92	5.0597e-010
201	16.875	39.543	-53.466	5.4326e-010
202	16.875	34.866	-56.627	5.2781e-010
203	16.875	29.939	-59.38	4.6178e-010
204	16.875	24.795	-61.705	3.5205e-010
205	16.875	19.473	-63.585	2.0944e-010
206	16.875	14.01	-65.007	4.7694e-011
207	16.875	8.4467	-65.961	-1.1765e-010
208	16.875	2.8223	-66.44	-2.7074e-010
209	16.875	-2.8223	-66.44	-4.0196e-010
210	16.875	-8.4467	-65.961	-4.9484e-010
211	16.875	-14.01	-65.007	-5.4172e-010
212	16.875	-19.473	-63.585	-5.3651e-010
213	16.875	-24.795	-61.705	-4.7968e-010
214	16.875	-29.939	-59.38	-3.777e-010
215	16.875	-34.866	-56.627	-2.434e-010
216	16.875	-39.543	-53.466	-8.9445e-011
217	16.875	-43.935	-49.92	6.7844e-011
218	16.875	-48.01	-46.014	2.1119e-010
219	16.875	-51.739	-41.777	3.2419e-010
220	16.875	-55.096	-37.238	3.942e-010
221	16.875	-58.055	-32.432	4.1394e-010
222	16.875	-60.597	-27.391	3.8252e-010
223	16.875	-62.701	-22.154	3.0575e-010
224	16.875	-64.354	-16.757	1.9538e-010
225	16.875	-65.543	-11.239	6.758e-011
226	16.875	-66.26	-5.6396	-5.9327e-011
227	33.75	-66.26	5.6396	-6.3989e-010
228	33.75	-65.543	11.239	-7.1274e-010
229	33.75	-64.354	16.757	-6.6788e-010
230	33.75	-62.701	22.154	-5.1442e-010
231	33.75	-60.597	27.391	-2.7665e-010
232	33.75	-58.055	32.432	9.7283e-012
233	33.75	-55.096	37.238	3.0294e-010
234	33.75	-51.739	41.777	5.6109e-010
235	33.75	-48.01	46.014	7.479e-010
236	33.75	-43.935	49.92	8.374e-010
237	33.75	-39.543	53.466	8.1689e-010
238	33.75	-34.866	56.627	6.881e-010
239	33.75	-29.939	59.38	4.6627e-010
240	33.75	-24.795	61.705	1.7767e-010
241	33.75	-19.473	63.585	-1.4406e-010
242	33.75	-14.01	65.007	-4.62e-010
243	33.75	-8.4467	65.961	-7.4013e-010
244	33.75	-2.8223	66.44	-9.4626e-010
245	33.75	2.8223	66.44	-1.0585e-009
246	33.75	8.4467	65.961	-1.0611e-009
247	33.75	14.01	65.007	-9.5538e-010
248	33.75	19.473	63.585	-7.4801e-010
249	33.75	24.795	61.705	-4.5884e-010
250	33.75	29.939	59.38	-1.1573e-010
251	33.75	34.866	56.627	2.4708e-010
252	33.75	39.543	53.466	5.921e-010
253	33.75	43.935	49.92	8.8225e-010
254	33.75	48.01	46.014	1.0848e-009
255	33.75	51.739	41.777	1.1749e-009
256	33.75	55.096	37.238	1.1393e-009
257	33.75	58.055	32.432	9.7801e-010
258	33.75	60.597	27.391	7.0535e-010
259	33.75	62.701	22.154	3.4886e-010
260	33.75	64.354	16.757	-5.2983e-011
261	33.75	65.543	11.239	-4.5574e-010
262	33.75	66.26	5.6396	-8.1132e-010
263	33.75	66.5	-1.9429e-013	-1.081e-009
264	33.75	66.26	-5.6396	-1.228e-009
265	33.75	65.543	-11.239	-1.2391e-009
266	33.75	64.354	-16.757	-1.1112e-009
267	33.75	62.701	-22.154	-8.5807e-010
268	33.75	60.597	-27.391	-5.0775e-010
269	33.75	58.055	-32.432	-9.8647e-011
270	33.75	55.096	-37.238	3.2491e-010
271	33.75	51.739	-41.777	7.1785e-010
272	33.75	48.01	-46.014	1.0394e-009
273	33.75	43.935	-49.92	1.2573e-009
274	33.75	39.543	-53.466	1.3507e-009
275	33.75	34.866	-56.627	1.3118e-009
276	33.75	29.939	-59.38	1.146e-009
277	33.75	24.795	-61.705	8.7074e-010
278	33.75	19.473	-63.585	5.132e-010
279	33.75	14.01	-65.007	1.0761e-010
280	33.75	8.4467	-65.961	-3.0746e-010
281	33.75	2.8223	-66.44	-6.9322e-010
282	33.75	-2.8223	-66.44	-1.0121e-009
283	33.75	-8.4467	-65.961	-1.2319e-009
284	33.75	-14.01	-65.007	-1.3362e-009
285	33.75	-19.473	-63.585	-1.3135e-009
286	33.75	-24.795	-61.705	-1.1663e-009
287	33.75	-29.939	-59.38	-9.0915e-010
288	33.75	-34.866	-56.627	-5.6931e-010
289	33.75	-39.543	-53.466	-1.8077e-010
290	33.75	-43.935	-49.92	2.109e-010
291	33.75	-48.01	-46.014	5.6264e-010
292	33.75	-51.739	-41.777	8.3467e-010
293	33.75	-55.096	-37.238	9.9697e-010
294	33.75	-58.055	-32.432	1.0328e-009
295	33.75	-60.597	-27.391	9.4152e-010
296	33.75	-62.701	-22.154	7.3879e-010
297	33.75	-64.354	-16.757	4.5493e-010
298	33.75	-65.543	-11.239	1.3075e-010
299	33.75	-66.26	-5.6396	-1.8801e-010
300	50.625	-66.26	5.6396	-1.0221e-009
301	50.625	-65.543	11.239	-1.1162e-009
302	50.625	-64.354	16.757	-1.0343e-009
303	50.625	-62.701	22.154	-7.9172e-010
304	50.625	-60.597	27.391	-4.2605e-010
305	50.625	-58.055	32.432	8.8317e-012
306	50.625	-55.096	37.238	4.5072e-010
307	50.625	-51.739	41.777	8.3797e-010
308	50.625	-48.01	46.014	1.1178e-009
309	50.625	-43.935	49.92	1.2532e-009
310	50.625	-39.543	53.466	1.2264e-009
311	50.625	-34.866	56.627	1.041e-009
312	50.625	-29.939	59.38	7.1984e-010
313	50.625	-24.795	61.705	3.013e-010
314	50.625	-19.473	63.585	-1.659e-010
315	50.625	-14.01	65.007	-6.2869e-010
316	50.625	-8.4467	65.961	-1.0356e-009
317	50.625	-2.8223	66.44	-1.341e-009
318	50.625	2.8223	66.44	-1.5122e-009
319	50.625	8.4467	65.961	-1.5288e-009
320	50.625	14.01	65.007	-1.3894e-009
321	50.625	19.473	63.585	-1.104e-009
322	50.625	24.795	61.705	-6.9823e-010
323	50.625	29.939	59.38	-2.1001e-010
324	50.625	34.866	56.627	3.1285e-010
325	50.625	39.543	53.466	8.1689e-010
326	50.625	43.935	49.92	1.248e-009
327	50.625	48.01	46.014	1.5571e-009
328	50.625	51.739	41.777	1.7057e-009
329	50.625	55.096	37.238	1.6712e-009
330	50.625	58.055	32.432	1.4507e-009
331	50.625	60.597	27.391	1.0626e-009
332	50.625	62.701	22.154	5.4562e-010
333	50.625	64.354	16.757	-4.3914e-011
334	50.625	65.543	11.239	-6.3994e-010
335	50.625	66.26	5.6396	-1.1704e-009
336	50.625	66.5	-1.9429e-013	-1.5764e-009
337	50.625	66.26	-5.6396	-1.7999e-009
338	50.625	65.543	-11.239	-1.8226e-009
339	50.625	64.354	-16.757	-1.6388e-009
340	50.625	62.701	-22.154	-1.2689e-009
341	50.625	60.597	-27.391	-7.5438e-010
342	50.625	58.055	-32.432	-1.5297e-010
343	50.625	55.096	-37.238	4.6874e-010
344	50.625	51.739	-41.777	1.0434e-009
345	50.625	48.01	-46.014	1.5105e-009
346	50.625	43.935	-49.92	1.8227e-009
347	50.625	39.543	-53.466	1.9505e-009
348	50.625	34.866	-56.627	1.884e-009
349	50.625	29.939	-59.38	1.6329e-009
350	50.625	24.795	-61.705	1.2246e-009
351	50.625	19.473	-63.585	7.0056e-010
352	50.625	14.01	-65.007	1.1212e-010
353	50.625	8.4467	-65.961	-4.8415e-010
354	50.625	2.8223	-66.44	-1.0319e-009
355	50.625	-2.8223	-66.44	-1.4773e-009
356	50.625	-8.4467	-65.961	-1.7767e-009
357	50.625	-14.01	-65.007	-1.9068e-009
