節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	-1.4398
1802	135.	-66.5	-8.1439e-015	1.5186e-002
1803	135.	-66.247	-5.7959	1.4684
1804	135.	-65.49	-11.548	2.7444
1805	135.	-64.234	-17.211	3.6895
1806	135.	-62.49	-22.744	4.1895
1807	135.	-60.269	-28.104	4.1843
1808	135.	-57.591	-33.25	3.6743
1809	135.	-54.474	-38.143	2.7212
1810	135.	-50.942	-42.745	1.4398
1811	135.	-47.023	-47.023	-1.5186e-002
1812	135.	-42.745	-50.942	-1.4684
1813	135.	-38.143	-54.474	-2.7444
1814	135.	-33.25	-57.591	-3.6895
1815	135.	-28.104	-60.269	-4.1895
1816	135.	-22.744	-62.49	-4.1843
1817	135.	-17.211	-64.234	-3.6743
1818	135.	-11.548	-65.49	-2.7212
1819	135.	-5.7959	-66.247	-1.4398
1820	135.	1.8838e-014	-66.5	1.5186e-002
1821	135.	5.7959	-66.247	1.4684
1822	135.	11.548	-65.49	2.7444
1823	135.	17.211	-64.234	3.6895
1824	135.	22.744	-62.49	4.1895
1825	135.	28.104	-60.269	4.1843
1826	135.	33.25	-57.591	3.6743
1827	135.	38.143	-54.474	2.7212
1828	135.	42.745	-50.942	1.4398
1829	135.	47.023	-47.023	-1.5186e-002
1830	135.	50.942	-42.745	-1.4684
1831	135.	54.474	-38.143	-2.7444
1832	135.	57.591	-33.25	-3.6895
1833	135.	60.269	-28.104	-4.1895
1834	135.	62.49	-22.744	-4.1843
1835	135.	64.234	-17.211	-3.6743
1836	135.	65.49	-11.548	-2.7212
1837	135.	66.247	-5.7959	-1.4398
1838	135.	66.5	5.5511e-014	1.5186e-002
1839	135.	66.247	5.7959	1.4684
1840	135.	65.49	11.548	2.7444
1841	135.	64.234	17.211	3.6895
1842	135.	62.49	22.744	4.1895
1843	135.	60.269	28.104	4.1843
1844	135.	57.591	33.25	3.6743
1845	135.	54.474	38.143	2.7212
1846	135.	50.942	42.745	1.4398
1847	135.	47.023	47.023	-1.5186e-002
1848	135.	42.745	50.942	-1.4684
1849	135.	38.143	54.474	-2.7444
1850	135.	33.25	57.591	-3.6895
1851	135.	28.104	60.269	-4.1895
1852	135.	22.744	62.49	-4.1843
1853	135.	17.211	64.234	-3.6743
1854	135.	11.548	65.49	-2.7212
1855	135.	5.7959	66.247	-1.4398
1856	135.	3.1416e-013	66.5	1.5186e-002
1857	135.	-5.7959	66.247	1.4684
1858	135.	-11.548	65.49	2.7444
1859	135.	-17.211	64.234	3.6895
1860	135.	-22.744	62.49	4.1895
1861	135.	-28.104	60.269	4.1843
1862	135.	-33.25	57.591	3.6743
1863	135.	-38.143	54.474	2.7212
1864	135.	-42.745	50.942	1.4398
1865	135.	-47.023	47.023	-1.5186e-002
1866	135.	-50.942	42.745	-1.4684
1867	135.	-54.474	38.143	-2.7444
1868	135.	-57.591	33.25	-3.6895
1869	135.	-60.269	28.104	-4.1895
1870	135.	-62.49	22.744	-4.1843
1871	135.	-64.234	17.211	-3.6743
1872	135.	-65.49	11.548	-2.7212
8883	135.	-66.437	2.9007	-0.72336
8884	135.	-65.931	8.68	-2.1128
8932	135.	-66.437	-2.9007	0.75328
8934	135.	-65.931	-8.68	2.1391
8936	135.	-64.924	-14.393	3.2668
8938	135.	-63.422	-19.997	4.0006
8940	135.	-61.438	-25.448	4.2518
8942	135.	-58.986	-30.706	3.9902
8944	135.	-56.086	-35.73	3.2473
8946	135.	-52.758	-40.483	2.1128
8948	135.	-49.029	-44.927	0.72336
8950	135.	-44.927	-49.029	-0.75328
