節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	-2.3906
1802	135.	-66.5	-8.1439e-015	-3.5166
1803	135.	-66.247	-5.7959	-4.403
1804	135.	-65.49	-11.548	-4.9893
1805	135.	-64.234	-17.211	-5.2356
1806	135.	-62.49	-22.744	-5.1251
1807	135.	-60.269	-28.104	-4.6654
1808	135.	-57.591	-33.25	-3.8877
1809	135.	-54.474	-38.143	-2.845
1810	135.	-50.942	-42.745	-1.6085
1811	135.	-47.023	-47.023	-0.26239
1812	135.	-42.745	-50.942	1.1016
1813	135.	-38.143	-54.474	2.3906
1814	135.	-33.25	-57.591	3.5166
1815	135.	-28.104	-60.269	4.403
1816	135.	-22.744	-62.49	4.9893
1817	135.	-17.211	-64.234	5.2356
1818	135.	-11.548	-65.49	5.1251
1819	135.	-5.7959	-66.247	4.6654
1820	135.	1.8838e-014	-66.5	3.8877
1821	135.	5.7959	-66.247	2.845
1822	135.	11.548	-65.49	1.6085
1823	135.	17.211	-64.234	0.26239
1824	135.	22.744	-62.49	-1.1016
1825	135.	28.104	-60.269	-2.3906
1826	135.	33.25	-57.591	-3.5166
1827	135.	38.143	-54.474	-4.403
1828	135.	42.745	-50.942	-4.9893
1829	135.	47.023	-47.023	-5.2356
1830	135.	50.942	-42.745	-5.1251
1831	135.	54.474	-38.143	-4.6654
1832	135.	57.591	-33.25	-3.8877
1833	135.	60.269	-28.104	-2.845
1834	135.	62.49	-22.744	-1.6085
1835	135.	64.234	-17.211	-0.26239
1836	135.	65.49	-11.548	1.1016
1837	135.	66.247	-5.7959	2.3906
1838	135.	66.5	5.5511e-014	3.5166
1839	135.	66.247	5.7959	4.403
1840	135.	65.49	11.548	4.9893
1841	135.	64.234	17.211	5.2356
1842	135.	62.49	22.744	5.1251
1843	135.	60.269	28.104	4.6654
1844	135.	57.591	33.25	3.8877
1845	135.	54.474	38.143	2.845
1846	135.	50.942	42.745	1.6085
1847	135.	47.023	47.023	0.26239
1848	135.	42.745	50.942	-1.1016
1849	135.	38.143	54.474	-2.3906
1850	135.	33.25	57.591	-3.5166
1851	135.	28.104	60.269	-4.403
1852	135.	22.744	62.49	-4.9893
1853	135.	17.211	64.234	-5.2356
1854	135.	11.548	65.49	-5.1251
1855	135.	5.7959	66.247	-4.6654
1856	135.	3.1416e-013	66.5	-3.8877
1857	135.	-5.7959	66.247	-2.845
1858	135.	-11.548	65.49	-1.6085
1859	135.	-17.211	64.234	-0.26239
1860	135.	-22.744	62.49	1.1016
1861	135.	-28.104	60.269	2.3906
1862	135.	-33.25	57.591	3.5166
1863	135.	-38.143	54.474	4.403
1864	135.	-42.745	50.942	4.9893
1865	135.	-47.023	47.023	5.2356
1866	135.	-50.942	42.745	5.1251
1867	135.	-54.474	38.143	4.6654
1868	135.	-57.591	33.25	3.8877
1869	135.	-60.269	28.104	2.845
1870	135.	-62.49	22.744	1.6085
1871	135.	-64.234	17.211	0.26239
1872	135.	-65.49	11.548	-1.1016
8883	135.	-66.437	2.9007	-2.9792
8884	135.	-65.931	8.68	-1.7612
8932	135.	-66.437	-2.9007	-3.9941
8934	135.	-65.931	-8.68	-4.7368
8936	135.	-64.924	-14.393	-5.1567
8938	135.	-63.422	-19.997	-5.2252
8940	135.	-61.438	-25.448	-4.9377
8942	135.	-58.986	-30.706	-4.3136
8944	135.	-56.086	-35.73	-3.3955
8946	135.	-52.758	-40.483	-2.2461
8948	135.	-49.029	-44.927	-0.94356
8950	135.	-44.927	-49.029	0.42326
8952	135.	-40.483	-52.758	1.7612
8954	135.	-35.73	-56.086	2.9792
8956	135.	-30.706	-58.986	3.9941
8958	135.	-25.448	-61.438	4.7368
8960	135.	-19.997	-63.422	5.1567
8962	135.	-14.393	-64.924	5.2252
8964	135.	-8.68	-65.931	4.9377
8966	135.	-2.9007	-66.437	4.3136
8968	135.	2.9007	-66.437	3.3955
8970	135.	8.68	-65.931	2.2461
8972	135.	14.393	-64.924	0.94356
8974	135.	19.997	-63.422	-0.42326
8976	135.	25.448	-61.438	-1.7612
8978	135.	30.706	-58.986	-2.9792
8980	135.	35.73	-56.086	-3.9941
8982	135.	40.483	-52.758	-4.7368
8984	135.	44.927	-49.029	-5.1567
8986	135.	49.029	-44.927	-5.2252
8988	135.	52.758	-40.483	-4.9377
8990	135.	56.086	-35.73	-4.3136
8992	135.	58.986	-30.706	-3.3955
8994	135.	61.438	-25.448	-2.2461
8996	135.	63.422	-19.997	-0.94356
8998	135.	64.924	-14.393	0.42326
9000	135.	65.931	-8.68	1.7612
9002	135.	66.437	-2.9007	2.9792
9004	135.	66.437	2.9007	3.9941
9006	135.	65.931	8.68	4.7368
9008	135.	64.924	14.393	5.1567
9010	135.	63.422	19.997	5.2252
9012	135.	61.438	25.448	4.9377
9014	135.	58.986	30.706	4.3136
9016	135.	56.086	35.73	3.3955
9018	135.	52.758	40.483	2.2461
9020	135.	49.029	44.927	0.94356
9022	135.	44.927	49.029	-0.42326
9024	135.	40.483	52.758	-1.7612
9026	135.	35.73	56.086	-2.9792
9028	135.	30.706	58.986	-3.9941
9030	135.	25.448	61.438	-4.7368
9032	135.	19.997	63.422	-5.1567
9034	135.	14.393	64.924	-5.2252
9036	135.	8.68	65.931	-4.9377
9038	135.	2.9007	66.437	-4.3136
9040	135.	-2.9007	66.437	-3.3955
9042	135.	-8.68	65.931	-2.2461
9044	135.	-14.393	64.924	-0.94356
9046	135.	-19.997	63.422	0.42326
9048	135.	-25.448	61.438	1.7612
9050	135.	-30.706	58.986	2.9792
9052	135.	-35.73	56.086	3.9941
9054	135.	-40.483	52.758	4.7368
9056	135.	-44.927	49.029	5.1567
9058	135.	-49.029	44.927	5.2252
9060	135.	-52.758	40.483	4.9377
9062	135.	-56.086	35.73	4.3136
9064	135.	-58.986	30.706	3.3955
9066	135.	-61.438	25.448	2.2461
9068	135.	-63.422	19.997	0.94356
9070	135.	-64.924	14.393	-0.42326
