節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	-3.5348
1802	135.	-66.5	-8.1439e-015	-2.4221
1803	135.	-66.247	-5.7959	-0.85548
1804	135.	-65.49	-11.548	0.87141
1805	135.	-64.234	-17.211	2.435
1806	135.	-62.49	-22.744	3.5423
1807	135.	-60.269	-28.104	3.9859
1808	135.	-57.591	-33.25	3.6825
1809	135.	-54.474	-38.143	2.6891
1810	135.	-50.942	-42.745	1.1918
1811	135.	-47.023	-47.023	-0.5288
1812	135.	-42.745	-50.942	-2.1503
1813	135.	-38.143	-54.474	-3.3689
1814	135.	-33.25	-57.591	-3.9562
1815	135.	-28.104	-60.269	-3.8022
1816	135.	-22.744	-62.49	-2.9357
1817	135.	-17.211	-64.234	-1.5191
1818	135.	-11.548	-65.49	0.18216
1819	135.	-5.7959	-66.247	1.8493
1820	135.	1.8838e-014	-66.5	3.1699
1821	135.	5.7959	-66.247	3.8965
1822	135.	11.548	-65.49	3.893
1823	135.	17.211	-64.234	3.16
1824	135.	22.744	-62.49	1.8348
1825	135.	28.104	-60.269	0.16586
1826	135.	33.25	-57.591	-1.5342
1827	135.	38.143	-54.474	-2.9467
1828	135.	42.745	-50.942	-3.8071
1829	135.	47.023	-47.023	-3.9541
1830	135.	50.942	-42.745	-3.3602
1831	135.	54.474	-38.143	-2.1366
1832	135.	57.591	-33.25	-0.51262
1833	135.	60.269	-28.104	1.2074
1834	135.	62.49	-22.744	2.7011
1835	135.	64.234	-17.211	3.6888
1836	135.	65.49	-11.548	3.9851
1837	135.	66.247	-5.7959	3.5348
1838	135.	66.5	5.5511e-014	2.4221
1839	135.	66.247	5.7959	0.85548
1840	135.	65.49	11.548	-0.87141
1841	135.	64.234	17.211	-2.435
1842	135.	62.49	22.744	-3.5423
1843	135.	60.269	28.104	-3.9859
1844	135.	57.591	33.25	-3.6825
1845	135.	54.474	38.143	-2.6891
1846	135.	50.942	42.745	-1.1918
1847	135.	47.023	47.023	0.5288
1848	135.	42.745	50.942	2.1503
1849	135.	38.143	54.474	3.3689
1850	135.	33.25	57.591	3.9562
1851	135.	28.104	60.269	3.8022
1852	135.	22.744	62.49	2.9357
1853	135.	17.211	64.234	1.5191
1854	135.	11.548	65.49	-0.18216
1855	135.	5.7959	66.247	-1.8493
1856	135.	3.1416e-013	66.5	-3.1699
1857	135.	-5.7959	66.247	-3.8965
1858	135.	-11.548	65.49	-3.893
1859	135.	-17.211	64.234	-3.16
1860	135.	-22.744	62.49	-1.8348
1861	135.	-28.104	60.269	-0.16586
1862	135.	-33.25	57.591	1.5342
1863	135.	-38.143	54.474	2.9467
1864	135.	-42.745	50.942	3.8071
1865	135.	-47.023	47.023	3.9541
1866	135.	-50.942	42.745	3.3602
1867	135.	-54.474	38.143	2.1366
1868	135.	-57.591	33.25	0.51262
1869	135.	-60.269	28.104	-1.2074
1870	135.	-62.49	22.744	-2.7011
1871	135.	-64.234	17.211	-3.6888
1872	135.	-65.49	11.548	-3.9851
8883	135.	-66.437	2.9007	-3.051
8884	135.	-65.931	8.68	-3.8516
8932	135.	-66.437	-2.9007	-1.6787
8934	135.	-65.931	-8.68	8.1595e-003
8936	135.	-64.924	-14.393	1.6935
8938	135.	-63.422	-19.997	3.0615
8940	135.	-61.438	-25.448	3.8558
8942	135.	-58.986	-30.706	3.9276
8944	135.	-56.086	-35.73	3.2634
8946	135.	-52.758	-40.483	1.9877
8948	135.	-49.029	-44.927	0.33959
8950	135.	-44.927	-49.029	-1.3722
8952	135.	-40.483	-52.758	-2.8269
8954	135.	-35.73	-56.086	-3.7518
8956	135.	-30.706	-58.986	-3.9737
8958	135.	-25.448	-61.438	-3.451
8960	135.	-19.997	-63.422	-2.2817
8962	135.	-14.393	-64.924	-0.68476
8964	135.	-8.68	-65.931	1.0405
8966	135.	-2.9007	-66.437	2.5707
8968	135.	2.9007	-66.437	3.6193
8970	135.	8.68	-65.931	3.9896
8972	135.	14.393	-64.924	3.6124
8974	135.	19.997	-63.422	2.5582
8976	135.	25.448	-61.438	1.0247
8978	135.	30.706	-58.986	-0.70083
8980	135.	35.73	-56.086	-2.295
8982	135.	40.483	-52.758	-3.4592
8984	135.	44.927	-49.029	-3.9752
8986	135.	49.029	-44.927	-3.7462
8988	135.	52.758	-40.483	-2.8153
8990	135.	56.086	-35.73	-1.3569
8992	135.	58.986	-30.706	0.35585
8994	135.	61.438	-25.448	2.0019
8996	135.	63.422	-19.997	3.2728
