節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1	0.	-62.262	5.4472	0.
2	0.	-61.55	10.853	0.
3	0.	-60.37	16.176	0.
4	0.	-58.731	21.376	0.
5	0.	-56.644	26.414	0.
6	0.	-54.127	31.25	0.
7	0.	-51.197	35.849	0.
8	0.	-47.878	40.174	0.
9	0.	-44.194	44.194	0.
10	0.	-40.174	47.878	0.
11	0.	-35.849	51.197	0.
12	0.	-31.25	54.127	0.
13	0.	-26.414	56.644	0.
14	0.	-21.376	58.731	0.
15	0.	-16.176	60.37	0.
16	0.	-10.853	61.55	0.
17	0.	-5.4472	62.262	0.
18	0.	3.1583e-014	62.5	0.
19	0.	5.4472	62.262	0.
20	0.	10.853	61.55	0.
21	0.	16.176	60.37	0.
22	0.	21.376	58.731	0.
23	0.	26.414	56.644	0.
24	0.	31.25	54.127	0.
25	0.	35.849	51.197	0.
26	0.	40.174	47.878	0.
27	0.	44.194	44.194	0.
28	0.	47.878	40.174	0.
29	0.	51.197	35.849	0.
30	0.	54.127	31.25	0.
31	0.	56.644	26.414	0.
32	0.	58.731	21.376	0.
33	0.	60.37	16.176	0.
34	0.	61.55	10.853	0.
35	0.	62.262	5.4472	0.
36	0.	62.5	-5.5511e-014	0.
37	0.	62.262	-5.4472	0.
38	0.	61.55	-10.853	0.
39	0.	60.37	-16.176	0.
40	0.	58.731	-21.376	0.
41	0.	56.644	-26.414	0.
42	0.	54.127	-31.25	0.
43	0.	51.197	-35.849	0.
44	0.	47.878	-40.174	0.
45	0.	44.194	-44.194	0.
46	0.	40.174	-47.878	0.
47	0.	35.849	-51.197	0.
48	0.	31.25	-54.127	0.
49	0.	26.414	-56.644	0.
50	0.	21.376	-58.731	0.
51	0.	16.176	-60.37	0.
52	0.	10.853	-61.55	0.
53	0.	5.4472	-62.262	0.
54	0.	2.8138e-013	-62.5	0.
55	0.	-5.4472	-62.262	0.
56	0.	-10.853	-61.55	0.
57	0.	-16.176	-60.37	0.
58	0.	-21.376	-58.731	0.
59	0.	-26.414	-56.644	0.
60	0.	-31.25	-54.127	0.
61	0.	-35.849	-51.197	0.
62	0.	-40.174	-47.878	0.
63	0.	-44.194	-44.194	0.
64	0.	-47.878	-40.174	0.
65	0.	-51.197	-35.849	0.
66	0.	-54.127	-31.25	0.
67	0.	-56.644	-26.414	0.
68	0.	-58.731	-21.376	0.
69	0.	-60.37	-16.176	0.
70	0.	-61.55	-10.853	0.
71	0.	-62.5	7.654e-015	0.
72	0.	-62.262	-5.4472	0.
73	0.	-66.247	5.7959	0.
74	0.	-65.49	11.548	0.
75	0.	-64.234	17.211	0.
76	0.	-62.49	22.744	0.
77	0.	-60.269	28.104	0.
78	0.	-57.591	33.25	0.
79	0.	-54.474	38.143	0.
80	0.	-50.942	42.745	0.
81	0.	-47.023	47.023	0.
82	0.	-42.745	50.942	0.
83	0.	-38.143	54.474	0.
84	0.	-33.25	57.591	0.
85	0.	-28.104	60.269	0.
86	0.	-22.744	62.49	0.
87	0.	-17.211	64.234	0.
88	0.	-11.548	65.49	0.
89	0.	-5.7959	66.247	0.
90	0.	3.1416e-013	66.5	0.
91	0.	5.7959	66.247	0.
92	0.	11.548	65.49	0.
93	0.	17.211	64.234	0.
94	0.	22.744	62.49	0.
95	0.	28.104	60.269	0.
96	0.	33.25	57.591	0.
97	0.	38.143	54.474	0.
98	0.	42.745	50.942	0.
99	0.	47.023	47.023	0.
100	0.	50.942	42.745	0.
101	0.	54.474	38.143	0.
102	0.	57.591	33.25	0.
103	0.	60.269	28.104	0.
104	0.	62.49	22.744	0.
105	0.	64.234	17.211	0.
106	0.	65.49	11.548	0.
107	0.	66.247	5.7959	0.
108	0.	66.5	5.5511e-014	0.
109	0.	66.247	-5.7959	0.
110	0.	65.49	-11.548	0.
111	0.	64.234	-17.211	0.
112	0.	62.49	-22.744	0.
113	0.	60.269	-28.104	0.
114	0.	57.591	-33.25	0.
115	0.	54.474	-38.143	0.
116	0.	50.942	-42.745	0.
117	0.	47.023	-47.023	0.
118	0.	42.745	-50.942	0.
119	0.	38.143	-54.474	0.
120	0.	33.25	-57.591	0.
121	0.	28.104	-60.269	0.
122	0.	22.744	-62.49	0.
123	0.	17.211	-64.234	0.
124	0.	11.548	-65.49	0.
125	0.	5.7959	-66.247	0.
126	0.	1.8838e-014	-66.5	0.
127	0.	-5.7959	-66.247	0.
128	0.	-11.548	-65.49	0.
129	0.	-17.211	-64.234	0.
130	0.	-22.744	-62.49	0.
131	0.	-28.104	-60.269	0.
132	0.	-33.25	-57.591	0.
133	0.	-38.143	-54.474	0.
134	0.	-42.745	-50.942	0.
135	0.	-47.023	-47.023	0.
136	0.	-50.942	-42.745	0.
137	0.	-54.474	-38.143	0.
138	0.	-57.591	-33.25	0.
139	0.	-60.269	-28.104	0.
140	0.	-62.49	-22.744	0.
141	0.	-64.234	-17.211	0.
142	0.	-65.49	-11.548	0.
143	0.	-66.247	-5.7959	0.
144	0.	-66.5	-8.1439e-015	0.
145	5.625	-66.247	5.7959	0.9553
146	5.625	-65.49	11.548	0.91615
147	5.625	-64.234	17.211	0.84917
148	5.625	-62.49	22.744	0.75638
149	5.625	-60.269	28.104	0.64061
150	5.625	-57.591	33.25	0.50538
151	5.625	-54.474	38.143	0.35479
152	5.625	-50.942	42.745	0.19343
153	5.625	-47.023	47.023	2.6181e-002
154	5.625	-42.745	50.942	-0.14186
155	5.625	-38.143	54.474	-0.30559
156	5.625	-33.25	57.591	-0.46003
157	5.625	-28.104	60.269	-0.6005
158	5.625	-22.744	62.49	-0.72272
159	5.625	-17.211	64.234	-0.82299
160	5.625	-11.548	65.49	-0.89824
161	5.625	-5.7959	66.247	-0.9462
162	5.625	-1.0694e-014	66.5	-0.96542
163	5.625	5.7959	66.247	-0.9553
164	5.625	11.548	65.49	-0.91615
165	5.625	17.211	64.234	-0.84917
166	5.625	22.744	62.49	-0.75638
167	5.625	28.104	60.269	-0.64061
168	5.625	33.25	57.591	-0.50538
169	5.625	38.143	54.474	-0.35479
170	5.625	42.745	50.942	-0.19343
171	5.625	47.023	47.023	-2.6181e-002
172	5.625	50.942	42.745	0.14186
173	5.625	54.474	38.143	0.30559
174	5.625	57.591	33.25	0.46003
175	5.625	60.269	28.104	0.6005
176	5.625	62.49	22.744	0.72272
177	5.625	64.234	17.211	0.82299
178	5.625	65.49	11.548	0.89824
179	5.625	66.247	5.7959	0.9462
180	5.625	66.5	5.5511e-014	0.96542
181	5.625	66.247	-5.7959	0.9553
182	5.625	65.49	-11.548	0.91615
183	5.625	64.234	-17.211	0.84917
184	5.625	62.49	-22.744	0.75638
185	5.625	60.269	-28.104	0.64061
186	5.625	57.591	-33.25	0.50538
187	5.625	54.474	-38.143	0.35479
188	5.625	50.942	-42.745	0.19343
189	5.625	47.023	-47.023	2.6181e-002
190	5.625	42.745	-50.942	-0.14186
191	5.625	38.143	-54.474	-0.30559
192	5.625	33.25	-57.591	-0.46003
