節点番号	X 座標 (mm)	Y 座標 (mm)	Z 座標 (mm)	各方向での変形量 (mm)
1778	135.	-66.247	5.7959	1.041
1802	135.	-66.5	-8.1439e-015	-0.19213
1803	135.	-66.247	-5.7959	-1.4194
1804	135.	-65.49	-11.548	-2.6036
1805	135.	-64.234	-17.211	-3.7087
1806	135.	-62.49	-22.744	-4.7011
1807	135.	-60.269	-28.104	-5.5507
1808	135.	-57.591	-33.25	-6.2316
1809	135.	-54.474	-38.143	-6.7231
1810	135.	-50.942	-42.745	-7.0104
1811	135.	-47.023	-47.023	-7.0847
1812	135.	-42.745	-50.942	-6.9437
1813	135.	-38.143	-54.474	-6.5917
1814	135.	-33.25	-57.591	-6.0394
1815	135.	-28.104	-60.269	-5.3037
1816	135.	-22.744	-62.49	-4.4067
1817	135.	-17.211	-64.234	-3.3759
1818	135.	-11.548	-65.49	-2.2426
1819	135.	-5.7959	-66.247	-1.041
1820	135.	1.8838e-014	-66.5	0.19213
1821	135.	5.7959	-66.247	1.4194
1822	135.	11.548	-65.49	2.6036
1823	135.	17.211	-64.234	3.7087
1824	135.	22.744	-62.49	4.7011
1825	135.	28.104	-60.269	5.5507
1826	135.	33.25	-57.591	6.2316
1827	135.	38.143	-54.474	6.7231
1828	135.	42.745	-50.942	7.0104
1829	135.	47.023	-47.023	7.0847
1830	135.	50.942	-42.745	6.9437
1831	135.	54.474	-38.143	6.5917
1832	135.	57.591	-33.25	6.0394
1833	135.	60.269	-28.104	5.3037
1834	135.	62.49	-22.744	4.4067
1835	135.	64.234	-17.211	3.3759
1836	135.	65.49	-11.548	2.2426
1837	135.	66.247	-5.7959	1.041
1838	135.	66.5	5.5511e-014	-0.19213
1839	135.	66.247	5.7959	-1.4194
1840	135.	65.49	11.548	-2.6036
1841	135.	64.234	17.211	-3.7087
1842	135.	62.49	22.744	-4.7011
1843	135.	60.269	28.104	-5.5507
1844	135.	57.591	33.25	-6.2316
1845	135.	54.474	38.143	-6.7231
1846	135.	50.942	42.745	-7.0104
1847	135.	47.023	47.023	-7.0847
1848	135.	42.745	50.942	-6.9437
1849	135.	38.143	54.474	-6.5917
1850	135.	33.25	57.591	-6.0394
1851	135.	28.104	60.269	-5.3037
1852	135.	22.744	62.49	-4.4067
1853	135.	17.211	64.234	-3.3759
1854	135.	11.548	65.49	-2.2426
1855	135.	5.7959	66.247	-1.041
1856	135.	3.1416e-013	66.5	0.19213
1857	135.	-5.7959	66.247	1.4194
1858	135.	-11.548	65.49	2.6036
1859	135.	-17.211	64.234	3.7087
1860	135.	-22.744	62.49	4.7011
1861	135.	-28.104	60.269	5.5507
1862	135.	-33.25	57.591	6.2316
1863	135.	-38.143	54.474	6.7231
1864	135.	-42.745	50.942	7.0104
1865	135.	-47.023	47.023	7.0847
1866	135.	-50.942	42.745	6.9437
1867	135.	-54.474	38.143	6.5917
1868	135.	-57.591	33.25	6.0394
1869	135.	-60.269	28.104	5.3037
1870	135.	-62.49	22.744	4.4067
